"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","",""
"General Chem I Laboratory","101
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"General Chem II Laboratory","102
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","103
001","314","2.868","23.2","10.8","26.8","14.3","16.2","7.3","1.3",".",".",".",".",".",".",".",".","."
"","103
002","283","2.943","25.8","13.4","26.5","9.9","17.3","4.2","2.5",".",".",".",".",".","0.4",".",".","."
"General Chemistry I","Course Total","597","2.904","24.5","12.1","26.6","12.2","16.8","5.9","1.8",".",".",".",".",".","0.2",".",".","."
"","104
001","311","2.914","27.0","10.9","25.1","11.9","15.1","8.0","1.3",".","0.3",".",".",".","0.3",".",".","."
"","104
002","291","2.990","28.2","13.4","23.7","12.7","14.4","7.6",".",".",".",".",".",".",".",".",".","."
"","104
003","319","2.961","30.1","10.0","24.5","12.2","14.7","7.2","1.3",".",".",".",".",".",".",".",".","."
"","004
104","338","2.976","27.2","12.4","26.9","7.7","20.1","4.1","1.2",".",".",".",".",".","0.3",".",".","."
"","104
005","295","2.963","31.5","7.1","24.7","13.9","14.6","7.1","1.0",".",".",".",".",".",".",".",".","."
"","104
006","255","3.051","28.2","13.7","25.5","14.5","13.7","3.9","0.4",".",".",".",".",".",".",".",".","."
"General Chemistry II","Course Total","1809","2.973","28.7","11.2","25.1","12.0","15.6","6.4","0.9",".","0.1",".",".",".","0.1",".",".","."
"General Chemistry II","106
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Chemistry in Our World","108
001","184","3.207","24.5","33.2","20.1","13.6","5.4","1.6","1.6",".",".",".",".",".",".",".",".","."
"Chemical Principles II","116
001","26","3.654","53.8","23.1","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entering Research I","260
001","9","3.500","77.8","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"","299
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
033","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
059","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
067","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
090","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chem Across the Periodic Table","311
001","45","3.056","26.7","13.3","24.4","15.6","20.0",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Analytical Sci","327
001","83","3.274","32.5","30.1","10.8","14.5","8.4","2.4",".",".",".",".",".",".","1.2",".",".","."
"","329
001","85","3.143","25.9","32.9","11.8","9.4","15.3","2.4","1.2",".",".",".",".",".","1.2",".",".","."
"","329
002","67","3.142","28.4","23.9","16.4","16.4","11.9","3.0",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Analytical Sci","Course Total","152","3.142","27.0","28.9","13.8","12.5","13.8","2.6","0.7",".",".",".",".",".","0.7",".",".","."
"","343
001","221","2.775","20.4","10.0","29.0","6.8","24.4","7.2","1.8",".",".",".",".",".","0.5",".",".","."
"","343
002","224","2.753","21.9","10.3","25.0","8.5","24.6","5.4","4.0",".",".",".",".",".","0.4",".",".","."
"","343
003","161","2.789","21.7","9.3","26.7","8.7","24.8","4.3","3.1",".",".",".",".",".",".","1.2",".","."
"Intro Organic Chemistry","Course Total","606","2.771","21.3","9.9","26.9","7.9","24.6","5.8","3.0",".",".",".",".",".","0.3","0.3",".","."
"","344
001","15","3.133","26.7","13.3","40.0","13.3",".","6.7",".",".",".",".",".",".",".",".",".","."
"","002
344","16","3.156","18.8","25.0","31.3","18.8","6.3",".",".",".",".",".",".",".",".",".",".","."
"","003
344","15","3.100","13.3","26.7","33.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"","344
004","17","3.206","35.3",".","47.1","5.9","11.8",".",".",".",".",".",".",".",".",".",".","."
"","344
005","15","3.233","33.3","6.7","40.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","344
006","15","3.167","26.7","13.3","40.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"","007
344","18","3.194","33.3","5.6","38.9","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","008
344","17","3.118","29.4",".","41.2","23.5","5.9",".",".",".",".",".",".",".",".",".",".","."
"","344
009","18","3.139","22.2","11.1","44.4","16.7","5.6",".",".",".",".",".",".",".",".",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","Page 185 of 426",""
