"Interdis Studies-Soc Sciences","372
001","8","3.313","25.0","25.0","37.5","12.5",".",".",".",".","",".","",".",".","",".","","",".",".",".","."
"Capstone Integration Seminar","400
001","12","4.000","100.0",".",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"Rsch-Integrated LiberalStudies","490
002","8","4.000","100.0",".",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"ILS
500","Dept. Total","491","3.526","42.0","22.4","15.3","2.6","1.4","1.0","0.4","",".","",".","14.1","",".","",".","",".",".","0.8","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","77","3.295","28.6","16.9","23.4","3.9",".","2.6","1.3","",".","",".","23.4","",".","",".","",".",".",".","."
"Sophomore","","196","3.545","34.7","21.9","15.8","1.5","1.0","0.5",".","",".","",".","24.5","",".","",".","",".",".",".","."
"Junior","","109","3.608","51.4","28.4","12.8","2.8","0.9","0.9",".","",".","",".","2.8","",".","",".","",".",".",".","."
"Senior","","105","3.556","57.1","21.9","11.4","3.8","3.8","1.0","1.0","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","487","3.526","42.3","22.6","15.4","2.7","1.4","1.0","0.4","",".","",".","14.2","",".","",".","",".",".",".","."
"Special","","4","***","","","","","","","","","","","",".","",".","",".","",".",".","100.0","."
"","Dept. Total","491","3.526","42.0","22.4","15.3","2.6","1.4","1.0","0.4","",".","",".","14.1","",".","",".","",".",".","0.8","."
