"Interdis Artist in Res Studio","310
001","","10","3.900","90.0",".","","10.0",".","","",".","",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Special Topics Integrated Arts","330
001","","8","4.000","100.0",".","",".",".","","",".","",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Interdis Artist in Res Studio","610
001","","6","4.000","100.0",".","",".",".","","",".","",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"INTEGART
495","Dept. Total","","24","3.946","95.8","",".","4.2","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"495
INTEGART","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","10","4.000","100.0","",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","1","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Senior","","","6","4.000","100.0","",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","17","3.914","94.1","",".","5.9","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","1","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","","6","4.000","100.0","",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","24","3.946","95.8","",".","4.2","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
