"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"","275
001","18","3.556","16.7","77.8","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
002","20","3.550","40.0","50.0","5.0",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"Technical Presentations","Course Total","38","3.553","28.9","63.2","5.3",".",".","2.6",".",".",".",".",".",".",".",".",".","."
"Intermed Tech Japanese II","375
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bus Japanese Communication","377
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","397
001","22","3.477","36.4","31.8","22.7","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","397
002","20","3.150","20.0","35.0","25.0","5.0","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"","397
003","22","3.455","22.7","50.0","22.7","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","397
004","21","3.357","28.6","33.3","23.8","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"","397
005","22","3.614","31.8","59.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
006","22","3.595","31.8","50.0","13.6",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"","397
007","23","3.283","21.7","39.1","21.7","8.7","8.7",".",".",".",".",".",".",".",".",".",".","."
"","008
397","17","3.382","11.8","52.9","35.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
009","22","3.364","18.2","40.9","36.4","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","397
010","15","3.267","20.0","53.3","20.0",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","397
011","23","3.435","17.4","56.5","21.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","397
012","23","3.413","17.4","52.2","26.1","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","397
013","23","3.370","26.1","30.4","34.8","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","397
014","23","3.239","17.4","39.1","39.1",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"","015
397","22","3.250","18.2","36.4","27.3","13.6","4.5",".",".",".",".",".",".",".",".",".",".","."
"Technical Communication","Course Total","320","3.379","22.8","43.8","25.3","5.0","1.9","0.3","0.6",".",".",".",".",".","0.3",".",".","."
"Tech Communications Intrshp","398
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Prob Solving with Comptrs","470
001","10","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Independent Study","499
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Quality Engr & Quality Mgmnt","518
001","18","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Japanese for Politics&Govrnmnt","602
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch-Japanese Technical Lit","604
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Economics & Management","611
003","16","3.688","56.3","25.0","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Communicating Technical Info","617
001","22","3.409","13.6","68.2","9.1","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"Appl Ldrshp&Mngmt of Engr Orgs","618
001","18","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engine Design I","622
001","8","3.625","50.0","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Engine Performance&Combustion","624
001","25","3.440","20.0","48.0","32.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thermal Systems Engineering","642
001","8","3.929","75.0","12.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","654
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","654
002","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching in Science & Engr","Course Total","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sustainable Systems Capstone","669
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
003","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
013","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in E P D","Course Total","38","3.977","97.4","2.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
