"ALS","","","","","","","","","","","","","","","","","","","","","",""
"MOLECULAR & ENVIRONMENTA Section","#","Ave","A","AB","B","BC","","C","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"362
M&ENVTOX","","","","","","","","","","","","","","","","","","","","","",""
"M&ENVTOX
362","92
Dept. Total","3.587","13.0","5.4","5.4","",".","1.1","",".","",".","68.5","",".",".",".","6.5",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","","C","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"362
M&ENVTOX","","","","","","","","","","","","","","","","","","","","","",""
"Senior","5","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduates","5","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Special","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Graduate","85","3.500","9.4","3.5","5.9","",".","1.2","",".","",".","72.9","",".",".",".","7.1",".",".",".","."
"Prof Yr 4","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total
92","3.587","13.0","5.4","5.4","",".","1.1","",".","",".","68.5","",".",".",".","6.5",".",".",".","."
