"LATIN (CLASSICS)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"524
LATIN","","","","","","","","","","","","","","","","","","","",""
"","104
001","","8","2.786","12.5","25.0","25.0","12.5",".",".","12.5","12.5",".",".",".",".",".",".",".","."
"","104
002","","10","3.050","30.0","40.0",".","10.0","10.0",".","10.0",".",".",".",".",".",".",".",".","."
"","003
104","","11","3.409","18.2","54.5","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Latin","Course Total","","29","3.125","20.7","41.4","13.8","10.3","3.4",".","6.9","3.4",".",".",".",".",".",".",".","."
"Intro to Latin Literature","204
001","","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Latin Lit of Roman Empire","302
001","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mediaeval Latin","563
001","","14","3.846","71.4","14.3","7.1",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","699
042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
