"FOREST AND WILDLIFE ECOLO","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","","",""
"248","001","","14","3.393","42.9","21.4","21.4",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"248","002","","7","3.357","42.9","14.3","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Envir, Nat Resources & Society","Course Total","","21","3.381","42.9","19.0","23.8",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"299","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","044","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","054","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"300
Forest Biometry","001","","17","3.438","41.2","23.5","17.6",".","11.8",".",".",".",".",".",".",".","5.9",".",".","."
"305
Forest Operations","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"306
Terr Vertbrt:Life Hist&Ecol","001","","47","3.117","27.7","29.8","8.5","19.1","8.5","6.4",".",".",".",".",".",".",".",".",".","."
"375","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"375","110","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","112","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","114","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","32","3.969","96.9",".","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"379
Princ-Wildlife Management","001","","35","2.900","20.0","25.7","17.1","5.7","25.7","2.9","2.9",".",".",".",".",".",".",".",".","."
"410
Principles of Silviculture","001","","24","3.370","50.0","8.3","12.5","12.5","12.5",".",".",".",".",".",".",".","4.2",".",".","."
"411
Practices of Silviculture","001","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"460
General Ecology","001","","24","2.979","25.0","12.5","29.2","8.3","20.8","4.2",".",".",".",".",".",".",".",".",".","."
"515
Natural Resources Policy","001","","25","3.313","28.0","28.0","20.0","16.0","4.0",".",".",".",".",".",".",".","4.0",".",".","."
"520
Ornithology","001","","19","3.250","21.1","31.6","21.1",".","5.3","5.3",".","15.8",".",".",".",".",".",".",".","."
"521","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"521","002","","6","3.000","33.3","33.3",".",".","16.7","16.7",".",".",".",".",".",".",".",".",".","."
"521","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"521","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Birds of Southern Wisconsin","Course Total","","16","3.313","50.0","12.5","18.8",".","12.5","6.3",".",".",".",".",".",".",".",".",".","."
"572
Stat Meth for Bioscience II","001","","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"652
Decisn Meth-Nat Resrc Mangr","001","","9","2.875","11.1","22.2","11.1","22.2","22.2",".",".",".",".",".",".",".","11.1",".",".","."
"655
Animal Population Dynamics","001","","43","3.390","25.6","41.9","11.6","14.0","2.3",".",".","2.3",".",".",".",".","2.3",".",".","."
"672
Historical Ecology","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"675","001","","16","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"675","002","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Develop-Forest/Wildlife","Course Total","","29","4.000","93.1",".",".",".",".",".",".","6.9",".",".",".",".",".",".",".","."
"692
Senior Thesis","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","","","Page 25 of 426"
