"L&S","","","","","","","","","","","","","","","","","","","",""
"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"PSYCH
820","Dept. Total","4592","3.278","40.9","18.7","17.7","8.8","7.1","3.3","1.3","1.3","0.0",".","",".","0.2","0.3","0.0","0.3","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","391","2.814","24.3","17.4","18.4","14.6","12.0","9.5","3.8",".",".",".","",".",".",".",".",".","."
"Sophomore","","1047","3.147","31.6","20.8","21.5","10.8","9.1","4.5","1.4",".",".",".","",".",".","0.3",".",".","."
"Junior","","1052","3.188","36.4","17.8","20.7","10.7","8.5","4.1","1.4",".","0.1",".","",".","0.1","0.1",".","0.1","."
"Senior","","1848","3.465","50.4","19.9","15.7","6.4","5.0","1.2","0.6","0.1","0.1",".","",".",".","0.4",".","0.1","0.1"
"Undergraduates","","4338","3.268","40.1","19.4","18.6","9.3","7.5","3.5","1.3","0.0","0.0",".","",".","0.0","0.3",".","0.0","0.0"
"Special","","43","3.167","34.9","20.9","11.6","4.7","4.7","2.3","7.0","11.6",".",".","",".",".",".","2.3",".","."
"Graduate","","211","3.903","58.8","3.8","0.9","0.5","0.5",".",".","24.6",".","0.5","",".","4.3","0.5",".","5.7","."
"Prof Yr 1","","1","***","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","4593","3.278","40.9","18.7","17.7","8.8","7.1","3.3","1.3","1.3","0.0","0.0","",".","0.2","0.3","0.0","0.3","0.0"
