"ACCOUNTING AND INFO SYSTE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","",""
"Pro Prac Iss-Acct & Auditng","601
001","","68","3.846","69.1","30.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
001","","32","3.250","18.8","28.1","40.6","9.4","3.1",".",".",".",".",".",".",".",".",".",".","."
"","620
002","","36","3.264","27.8","30.6","27.8","5.6","5.6",".","2.8",".",".",".",".",".",".",".",".","."
"Fundamentals of Taxation","Course Total","","68","3.257","23.5","29.4","33.8","7.4","4.4",".","1.5",".",".",".",".",".",".",".",".","."
"Corporate & Advanced Taxation","621
001","","30","3.050","23.3","16.7","36.7","6.7","13.3",".","3.3",".",".",".",".",".",".",".",".","."
"","630
001","","33","3.712","51.5","39.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
002","","30","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Audit and Assurance Services","Course Total","","63","3.659","46.0","39.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting II","002
702","","6","3.333","33.3","16.7","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","706
001","","24","3.313","16.7","37.5","37.5","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","706
002","","33","3.591","51.5","15.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Financial Reporting","Course Total","","57","3.474","36.8","24.6","35.1","3.5",".",".",".",".",".",".",".",".",".",".",".","."
"Managerial Accounting","710
031","","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Taxatn/Cross-Juris Transactns","725
001","","40","3.513","30.0","42.5","27.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Corporate Taxation","726
001","","40","3.846","70.0","25.0","2.5",".",".",".",".","2.5",".",".",".",".",".",".",".","."
"","730
001","","23","3.391","26.1","26.1","47.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","730
002","","30","3.700","56.7","26.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","730
003","","24","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Assurance Services","Course Total","","77","3.643","53.2","22.1","24.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","771
001","","33","3.667","51.5","30.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
771","","33","3.652","51.5","30.3","15.2","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"Strateg Cost Mgmt&Perf Measrmt","Course Total","","66","3.659","51.5","30.3","16.7","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Current Taxation Topics","772
001","","41","3.500","41.5","19.5","36.6","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Accounting Research","971
001","","7","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"","990
075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
122","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Accounting","Course Total","","4","***","","","","","","","","","","","","","","","",""
"","999
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
086","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Readng & Rsch-Accountng PhD","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
