"EDU","","","","","","","","","","","","","","","","","","","","","",""
"ED LEADERSHP & POLICY ANAL Section","#","Ave","A","AB","B","BC","C","","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","","",""
"ELPA
Dept. Total
305","592","3.934","77.0","5.6","1.0","0.7","",".","",".","0.2","10.6","",".",".","",".","2.4","2.0",".","0.5","."
"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","7","3.929","85.7","14.3",".",".","",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Junior","21","3.976","95.2","4.8",".",".","",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Senior","38","3.794","73.7","5.3","7.9","5.3","",".","",".",".",".","",".",".","",".",".","7.9",".",".","."
"Undergraduates","66","3.873","81.8","6.1","4.5","3.0","",".","",".",".",".","",".",".","",".",".","4.5",".",".","."
"Special","14","3.864","57.1","21.4",".",".","",".","",".",".","14.3","",".",".","",".",".",".",".","7.1","."
"Graduate","507","3.943","76.3","5.1","0.6","0.4","",".","",".","0.2","12.0","",".","0.6","",".","2.8","1.6",".","0.4","."
"Prof Yr 2","3","***","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 3","5","***","","","","","","","","","","","","",".","",".",".","20.0",".",".","."
"Professionals","8","4.000","87.5",".",".",".","",".","",".",".",".","",".",".","",".",".","12.5",".",".","."
"Dept. Total","595","3.934","76.6","5.5","1.0","0.7","",".","",".","0.2","10.6","",".","0.5","",".","2.4","2.0",".","0.5","."
