"KINESIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","","",""
"Intro to Exercise Psychology","350","001","","53","3.481","45.3","24.5","20.8","3.8","3.8","1.9",".",".",".",".",".",".",".",".",".","."
"Soc-Cult of Phys Act","355","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Therapeutic Strategies I","357","001","","18","3.611","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lifespan Motor Development","360","001","","33","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Learning&Performance","361","001","","28","3.411","35.7","28.6","17.9","17.9",".",".",".",".",".",".",".",".",".",".",".","."
"Pract:Adapted Physical Educ","365","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Plan, Teach & Assess Phys Ed","370","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mthds of Tchng Games & Fitness","372","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Phys Ed","375","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","021","","6","3.900","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","047","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","050","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","051","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","052","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","","Course Total","","67","3.991","98.5","1.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org&Admin-Ath Training Prgm","400","001","","27","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fitness Test & Exer Prescript","427","001","","25","3.320","28.0","28.0","28.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","450","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","450","002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Fld Exp in AT","","Course Total","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Med Probs-Exercise & Sports","457","001","","18","3.556","38.9","38.9","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Athletic Training","475","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Sch Phy Ed Stdt Tchg","478","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Secondary-Phys Ed Stdt Tchg","479","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Health Info for Teachers","501","001","","42","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Kinesiology","508","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinic Exercise Test&Train","523","001","","24","3.854","70.8","29.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nutrition, Fitness and Health","525","001","","18","3.389","44.4","11.1","33.3",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Neural Control of Movement","531","001","","42","3.762","61.9","28.6","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org&Adm-School Hlth Progms","541","001","","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biol Factors-Exercise Perf","614","001","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship in Kinesiology","690","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
