"BIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","140","2.584","21.4","6.4","26.4","5.0","23.6","5.7","9.3",".",".",".",".",".",".","0.7",".","1.4"
"","101
002","184","2.508","16.8","4.9","28.8","7.6","23.4","14.1","4.3",".",".",".",".",".",".",".",".","."
"Animal Biology","Course Total","324","2.540","18.8","5.6","27.8","6.5","23.5","10.5","6.5",".",".",".",".",".",".","0.3",".","0.6"
"","102
001","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
102","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","8","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","8","3.313","37.5","12.5","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","102
005","12","3.792","75.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
006","11","3.455","36.4","18.2","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
007","10","3.300","30.0","20.0","40.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","102
008","8","3.438","50.0",".","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","102
009","6","2.917","16.7",".","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"","102
010","10","2.900","10.0",".","70.0",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"","102
011","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
012","9","3.333","22.2","22.2","55.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","013
102","11","3.545","54.5","9.1","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","014
102","7","3.500","42.9","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","015
102","12","3.167","16.7","16.7","58.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","102
016","11","2.864","18.2","18.2","36.4","9.1","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"","102
017","6","3.167","16.7","33.3","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
018","10","3.550","60.0",".","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","102
019","9","3.389","44.4",".","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","167","3.344","38.3","11.4","40.1","4.8","4.2","0.6","0.6",".",".",".",".",".",".",".",".","."
"General Botany","130
001","36","2.986","27.8","16.7","19.4","8.3","22.2","5.6",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","151
001","298","2.601","11.4","4.7","39.3","8.7","24.8","8.7","2.3",".",".",".",".",".",".",".",".","."
"","152
001","221","3.248","30.8","14.9","40.7","3.6","7.7","1.4","0.5",".",".",".",".",".","0.5",".",".","."
"","152
002","277","3.109","21.7","13.4","46.6","6.1","9.4","1.4","0.7",".",".",".",".",".","0.7",".",".","."
"","152
003","17","3.471","35.3","29.4","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","152
004","20","3.525","50.0","10.0","35.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","152
005","15","3.679","60.0","6.7","26.7",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","152
006","21","3.619","61.9","9.5","23.8",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","152
007","16","3.786","62.5","12.5","12.5",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","152
008","20","3.450","50.0","20.0","25.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","152
009","17","3.618","52.9","17.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","152
010","21","3.595","57.1","4.8","38.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","152
011","17","3.500","29.4","41.2","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","662","3.270","32.0","14.7","40.0","4.1","6.6","1.1","0.6",".",".",".",".",".","0.9",".",".","."
"Evolution Seminar Series UG","522
001","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","6","3.912","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
