"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"PHM SCI","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","2","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","14","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","78","3.862","92.3","2.6","2.6",".","2.6","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","94","3.884","93.6","2.1","2.1",".","2.1","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","137","3.629","13.1","0.7","2.2","0.7","0.7","",".","",".","42.3","",".","40.1","",".","",".","",".",".",".","."
"Prof Yr 1","568","3.392","35.9","25.5","25.7","10.0","2.8","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","287","3.367","35.5","28.2","21.6","9.1","5.6","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","8","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","863","3.385","36.4","26.2","24.1","9.6","3.7","",".","",".",".","",".",".","",".","",".","",".",".",".","."
