"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","",""
"VET","","","","","","","","","","","","","","","","","","","","","",""
"VET","College Total","3943","3.514","33.9","8.8","11.6","2.2","1.6","0.2","",".","37.8","",".",".","",".","0.2","2.5",".","1.2","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"VET","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","4","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Junior","","22","3.858","90.9",".","4.5","4.5",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","45","3.611","60.0","4.4","15.6",".","4.4",".","",".","15.6","",".",".","",".",".",".",".",".","."
"Undergraduates","","72","3.668","69.4","2.8","12.5","1.4","4.2",".","",".","9.7","",".",".","",".",".",".",".",".","."
"Special","","20","",".",".",".",".",".",".","",".","100.0","",".",".","",".",".",".",".",".","."
"Graduate","","76","3.588","9.2","6.6","3.9","1.3",".",".","",".","71.1","",".",".","",".","6.6","1.3",".",".","."
"Prof Yr 1","","957","3.415","24.9","13.1","19.9","3.0","2.1","0.1","",".","31.1","",".",".","",".",".","2.6",".","3.2","."
"Prof Yr 2","","868","3.440","34.6","12.9","16.0","3.2","2.5","0.5","",".","21.5","",".",".","",".",".","8.1",".","0.7","."
"Prof Yr 3","","996","3.463","35.1","10.4","11.7","2.8","1.7","0.1","",".","38.1","",".",".","",".",".",".",".",".","."
"Prof Yr 4","","954","3.983","41.2",".",".",".",".","0.2","",".","57.2","",".",".","",".","0.1","0.2",".","1.0","."
"Professionals","","3775","3.509","33.9","9.0","11.8","2.3","1.6","0.2","",".","37.4","",".",".","",".","0.0","2.6",".","1.2","."
"","College Total","3943","3.514","33.9","8.8","11.6","2.2","1.6","0.2","",".","37.8","",".",".","",".","0.2","2.5",".","1.2","."
