"ENVIR ST - GAYLORD NELSON I","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Forum on the Environment","101","001","145","3.757","80.0","9.7","1.4","3.4",".","1.4","2.1","2.1",".",".",".",".",".",".",".","."
"Environmental Geology","106","001","53","2.972","18.9","32.1","20.8","7.5","9.4","9.4","1.9",".",".",".",".",".",".",".",".","."
"Envr St-Humanistic Perspctv","113","001","183","3.764","60.1","35.0","2.7",".","1.6",".",".","0.5",".",".",".",".",".",".",".","."
"Intro Earth System","120","001","73","2.904","16.4","15.1","35.6","15.1","13.7",".","4.1",".",".",".",".",".",".",".",".","."
"Principles-Envrnmtl Science","126","001","53","3.406","39.6","13.2","41.5",".","5.7",".",".",".",".",".",".",".",".",".",".","."
"Intro People-Environment Geog","139","001","84","3.377","34.5","31.0","17.9","3.6","7.1","2.4",".","3.6",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","19","3.474","36.8","26.3","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Insects and Human Culture","201","001","11","3.727","45.5","54.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Glbl Envir Hlth:Interdis Intro","213","001","76","3.793","65.8","25.0","7.9",".",".",".",".",".",".",".",".",".",".",".","1.3","."
"Soil: Ecosystem & Resource","230","001","17","2.853","11.8","41.2","17.6",".","17.6","5.9","5.9",".",".",".",".",".",".",".",".","."
"Environment&Global Economy","244","001","44","3.409","34.1","27.3","29.5","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260","001","42","3.171","28.6","19.0","26.2","9.5","11.9","2.4",".",".",".",".",".",".",".",".","2.4","."
"Env Lit:Speaking for Nature","307","001","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"People, Land and Food","309","001","60","3.575","48.3","31.7","16.7",".","1.7",".","1.7",".",".",".",".",".",".",".",".","."
"Chall & Solu in Bus Sustain","310","001","13","3.538","46.2","15.4","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nature, Power and Society","337","001","28","3.315","17.9","39.3","28.6","7.1","3.6",".",".",".",".",".",".",".","3.6",".",".","."
"Environmental Conservation","339","001","75","3.081","8.0","30.7","40.0","12.0","6.7","1.3",".",".",".",".",".",".",".",".",".","1.3"
"Wetlands Ecology","361","001","26","3.692","57.7","23.1","19.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Renewable Energy Systems","367","001","37","3.027","16.2","16.2","45.9","10.8","8.1",".","2.7",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","9","3.444","55.6",".","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","400","001","24","2.896","16.7","8.3","45.8","4.2","20.8","4.2",".",".",".",".",".",".",".",".",".","."
"","400","002","10","3.000","10.0","10.0","50.0","30.0",".",".",".",".",".",".",".",".",".",".",".","."
"","400","003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","400","004","46","2.967","15.2","10.9","47.8","13.0","8.7","4.3",".",".",".",".",".",".",".",".",".","."
"","400","00C","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics: Biol Aspects-Envir St","","Course Total","88","3.011","18.2","11.4","45.5","11.4","10.2","3.4",".",".",".",".",".",".",".",".",".","."
"Topics: Env Perspctve-Phys Sci","401","001","12","3.792","75.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","002","20","3.900","90.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","402","003","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","004","14","3.571","64.3",".","28.6",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Soc Perspectives-Envir Studies","","Course Total","70","3.825","88.6","2.9","5.7","1.4","1.4",".",".",".",".",".",".",".",".",".",".","."
"Topics in Envir: Humanistic","404","001","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Law and Environment","430","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"US Envir Policy & Regulation","439","001","17","3.375","47.1","17.6","17.6","5.9",".",".","5.9","5.9",".",".",".",".",".",".",".","."
"Culture and the Environment","445","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Environmental Health","471","001","86","3.634","39.5","51.2","7.0","1.2","1.2",".",".",".",".",".",".",".",".",".",".","."
"Modlng&Analysis of Envr Sys","506","001","7","3.667","71.4",".",".",".","14.3",".",".",".",".",".",".",".","14.3",".",".","."
"Ecology of Fishes","510","001","27","3.167","22.2","22.2","37.0","3.7","14.8",".",".",".",".",".",".",".",".",".",".","."
"","511","001","9","3.556","44.4","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","511","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
