"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"990","110","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","112","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","118","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","120","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","134","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","160","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","165","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","195","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","240","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","242","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","255","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","256","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","261","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","262","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","299","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","56","",".",".",".",".",".",".",".","73.2",".",".",".","26.8",".",".",".","."
"992","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"992","002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","Course Total","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"998
Statistical Consulting","001","16","3.719","56.3","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"STAT
932","Dept. Total","3125","3.381","43.4","20.7","17.2","8.2","5.8","1.4","1.0","1.7","0.0","0.0",".","0.5","0.0",".","0.0","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"Freshmen","","26","2.993","23.1","26.9","15.4","15.4","15.4",".","3.8",".",".",".",".",".",".",".",".","."
"Sophomore","","450","3.243","36.0","19.8","21.1","10.9","9.3","1.6","1.1",".",".",".",".",".","0.2",".",".","."
"Junior","","1126","3.320","41.6","20.2","18.0","10.9","6.6","1.6","1.0","0.2",".",".",".",".",".",".",".","."
"Senior","","835","3.331","43.5","20.6","16.0","8.1","7.2","2.4","1.6","0.4",".","0.1",".",".",".",".","0.1","."
"Undergraduates","","2437","3.305","41.0","20.3","17.9","10.0","7.4","1.8","1.2","0.2",".","0.0",".",".","0.0",".","0.0","."
"Special","","164","3.663","59.1","23.8","13.4","1.8",".",".","0.6","0.6",".",".",".",".",".",".",".","0.6"
"Graduate","","521","3.672","49.5","21.7","14.6","1.7","0.4",".",".","9.0","0.2",".",".","2.9",".",".",".","."
"Prof Yr 3","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 4","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","3125","3.381","43.4","20.7","17.2","8.2","5.8","1.4","1.0","1.7","0.0","0.0",".","0.5","0.0",".","0.0","0.0"
