"DANCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","",""
"","1
001","30","3.517","73.3","10.0",".",".","10.0","3.3","3.3",".",".",".",".",".",".",".",".","."
"","1
010","41","3.988","97.6","2.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","1
011","37","4.000","94.6",".",".",".",".",".",".","2.7",".",".",".",".",".",".",".","2.7"
"","012
1","32","3.583","43.8","25.0","21.9","3.1",".",".",".","6.3",".",".",".",".",".",".",".","."
"Workshop in Dance Activity","Course Total","140","3.798","79.3","8.6","5.0","0.7","2.1","0.7","0.7","2.1",".",".",".",".",".",".",".","0.7"
"","112
001","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
002","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
003","14","4.000","92.9",".",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Cont Dance Technique&Theory II","Course Total","35","3.855","77.1","17.1","2.9",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"","118
001","46","3.924","93.5","2.2","2.2",".","2.2",".",".",".",".",".",".",".",".",".",".","."
"","118
002","43","3.965","97.7",".",".","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"","118
003","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"African Dance","Course Total","104","3.952","96.2","1.0","1.0","1.0","1.0",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique I-B","126
001","16","3.438","37.5","37.5","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Somatic Theory and Practices","131
001","27","3.907","85.2","11.1","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","135
001","35","3.609","51.4","25.7","8.6",".","2.9","2.9",".","8.6",".",".",".",".",".",".",".","."
"","135
002","40","3.938","92.5","5.0",".","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"","003
135","31","3.952","93.5","3.2","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","135
004","38","3.934","89.5","7.9","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pilates Mat I","Course Total","144","3.865","81.9","10.4","3.5","0.7","0.7","0.7",".","2.1",".",".",".",".",".",".",".","."
"Dance Production","140
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Movemnt as Matl Thru Improv","156
001","21","3.929","90.5","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Movement Analysis","157
001","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dancing Gender","168
001","154","3.773","77.3","11.7","5.8","1.3","3.2",".","0.6",".",".",".",".",".",".",".",".","."
"","2
001","49","3.739","65.3","14.3","8.2","6.1",".",".",".","6.1",".",".",".",".",".",".",".","."
"","2
002","37","3.851","78.4","13.5","8.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
2","41","3.863","85.4","2.4","7.3",".","2.4",".",".",".",".",".",".",".","2.4",".",".","."
"Ballroom Dance I","Course Total","127","3.813","75.6","10.2","7.9","2.4","0.8",".",".","2.4",".",".",".",".","0.8",".",".","."
"","21
001","23","3.705","65.2","17.4",".","13.0",".",".",".","4.3",".",".",".",".",".",".",".","."
"","002
21","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet I","Course Total","35","3.750","68.6","17.1","2.9","8.6",".",".",".","2.9",".",".",".",".",".",".",".","."
"","212
001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","212
003","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Dance Tech & Th IV","Course Total","23","3.900","73.9","26.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet II","22
001","14","3.923","85.7",".","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Ballet Technique II-B","226
001","15","3.633","60.0","20.0","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Dance Production Laboratory","240
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Pol&Cult Perspectives in Dance","268
001","116","3.474","50.0","21.6","14.7","5.2","6.0",".","1.7",".",".",".",".",".","0.9",".",".","."
"Ballroom Dance II","3
001","26","3.923","96.2",".",".",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"","312
001","7","3.833","57.1","14.3","14.3",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","312
002","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Dance Tech & Th VI","Course Total","13","3.767","53.8","23.1","15.4",".",".",".",".",".",".",".",".",".","7.7",".",".","."
