"AFRICAN LANGUAGES & LITERA Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","","",""
"Intro African Lit","201","001","122","3.744","79.5","9.0","3.3","0.8","4.9",".","1.6",".",".",".",".",".",".",".","0.8","."
"The African Storyteller","210","001","124","3.671","66.9","14.5","12.1","2.4","1.6",".","1.6",".",".",".",".",".","0.8",".",".","."
"Global HipHop & Social Justice","233","001","108","3.338","38.0","27.8","17.6","6.5","7.4","0.9","1.9",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","19","3.529","36.8","36.8","5.3","5.3","5.3",".",".","10.5",".",".",".",".",".",".",".","."
"Africn&Africn-Amer Linkages","297","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","300","001","25","3.604","40.0","40.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".","4.0","."
"","300","002","12","3.227","33.3","25.0",".","16.7","16.7",".",".","8.3",".",".",".",".",".",".",".","."
"African Lit in Translation","","Course Total","37","3.486","37.8","35.1","8.1","8.1","5.4",".",".","2.7",".",".",".",".",".",".","2.7","."
"","322","001","14","3.926","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322","002","13","2.917","38.5","15.4",".","15.4","7.7","7.7","7.7","7.7",".",".",".",".",".",".",".","."
"","322","003","11","3.954","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Arabic","","Course Total","38","3.602","71.1","13.2",".","5.3","2.6","2.6","2.6","2.6",".",".",".",".",".",".",".","."
"Fourth Semester Arabic","324","001","9","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Colloquial Arabic","325","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Arabic","330","001","7","3.571","14.3","85.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Swahili","332","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Swahili","334","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Yoruba","372","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Yoruba","374","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"2nd Sem-Lang of West Africa","392","001","7","3.429","42.9","14.3","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Theories of Afr Cult Studies","403","001","7","3.917","71.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","14.3"
"African Cultural Studies","405","002","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in African Languages","407","001","14","3.714","50.0","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics US/Global Black Music","409","001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Studies-Swahili Lang-Rd","436","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Readings-Adv Arabic Texts","445","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv. African Cultural Studies","605","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Multilanguage Seminar","671","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Teaching Apprenticeship","796","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","905","001","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"","905","002","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sem in ACS: Tpcs","","Course Total","15","3.893","80.0","6.7","6.7",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","990","019","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","023","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","","Course Total","5","***","","","","","","","","","","","","","","","",""
"","999","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","023","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Reading & Research","","Course Total","4","***","","","","","","","","","","","","","","","",""
