"FRENCH (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","",""
"617
Contemporary Skill Set","001","","16","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"618
Career Strategies","001","","16","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"623
Communication orale","001","","16","3.719","43.8","56.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"637
Litt¿rature fran¿aise du XIXe","001","","11","3.857","45.5","18.2",".",".",".",".",".","27.3",".",".",".",".","9.1",".",".","."
"642
Culture et soci¿t¿s","001","","16","3.781","56.3","43.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"645
Lit Francaise-XVIe Siecle","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","9","3.684","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"793
Prof French Masters Prg Intern","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799
Independent Study","024","","19","3.886","73.7","26.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"821
Issues-Mthds Teachng Fr&Itl","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"826
Grammaire Et Style","001","","8","3.857","62.5","25.0",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research","Course Total","","17","",".",".",".",".",".",".",".","52.9",".",".",".","47.1",".",".",".","."
