"ENGR MECHANICS & ASTRONA","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","","",""
"611
Adv Mech Testing-Materials","001","","20","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"642
Satellite Dynamics","001","","24","3.250","33.3","25.0","12.5","16.7","12.5",".",".",".",".",".",".",".",".",".",".","."
"690","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research","Course Total","","3","***","","","","","","","","","","","","","","","",""
"705
Adv Topics-Finite Elements","001","","16","3.719","62.5","18.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research and Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"890","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator Research","Course Total","","6","",".",".",".",".",".",".",".","66.7",".",".",".","33.3",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
