"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","300
001","208","2.978","20.2","17.8","26.4","8.7","26.0","0.5",".",".","0.5",".",".",".",".",".",".","."
"","300
002","236","3.053","24.2","15.3","26.7","15.7","17.8","0.4",".",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","444","3.018","22.3","16.4","26.6","12.4","21.6","0.5",".",".","0.2",".",".",".",".",".",".","."
"","305
001","25","3.020","24.0",".","48.0","12.0","16.0",".",".",".",".",".",".",".",".",".",".","."
"","305
002","20","3.250","35.0","10.0","45.0",".","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"Finc Mrkts,Instns&Econ Actv","Course Total","45","3.122","28.9","4.4","46.7","6.7","11.1","2.2",".",".",".",".",".",".",".",".",".","."
"","320
001","51","3.324","31.4","27.5","27.5","9.8","2.0",".","2.0",".",".",".",".",".",".",".",".","."
"","002
320","37","3.459","37.8","32.4","16.2","10.8","2.7",".",".",".",".",".",".",".",".",".",".","."
"","320
003","35","3.212","20.0","34.3","20.0","11.4","5.7","2.9",".","2.9",".",".",".",".","2.9",".",".","."
"","004
320","57","3.368","29.8","29.8","26.3","12.3","1.8",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory","Course Total","180","3.346","30.0","30.6","23.3","11.1","2.8","0.6","0.6","0.6",".",".",".",".","0.6",".",".","."
"","325
001","36","3.319","33.3","41.7","5.6","11.1",".","8.3",".",".",".",".",".",".",".",".",".","."
"","325
002","55","3.336","27.3","30.9","29.1","7.3","5.5",".",".",".",".",".",".",".",".",".",".","."
"","325
003","47","3.415","29.8","40.4","19.1","4.3","6.4",".",".",".",".",".",".",".",".",".",".","."
"Corporation Finance","Course Total","138","3.359","29.7","37.0","19.6","7.2","4.3","2.2",".",".",".",".",".",".",".",".",".","."
"","001
330","59","3.102","18.6","33.9","15.3","16.9","13.6","1.7",".",".",".",".",".",".",".",".",".","."
"","330
002","59","3.381","32.2","30.5","22.0","11.9","3.4",".",".",".",".",".",".",".",".",".",".","."
"","003
330","57","3.152","26.3","28.1","12.3","19.3","8.8","3.5",".",".",".",".",".",".",".",".","1.8","."
"Derivative Securities","Course Total","175","3.213","25.7","30.9","16.6","16.0","8.6","1.7",".",".",".",".",".",".",".",".","0.6","."
"Fixed Income Securities","340
001","14","3.393","28.6","42.9","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","365
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
003","17","3.588","35.3","47.1","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
365","16","3.750","56.3","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
005","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
006","19","3.711","63.2","21.1","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","88","3.796","67.0","23.9","8.0","1.1",".",".",".",".",".",".",".",".",".",".",".","."
"Bank Management","410
001","95","3.474","35.8","30.5","31.6","1.1",".",".","1.1",".",".",".",".",".",".",".",".","."
"Investmt Bankg & Capital Mrkts","420
001","17","3.706","58.8","23.5","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","445
001","29","3.414","37.9","20.7","27.6","13.8",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Finance","457
001","39","3.385","28.2","38.5","28.2","2.6",".",".","2.6",".",".",".",".",".",".",".",".","."
"Bank Simulation and Strategy","610
001","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
001","19","3.500","21.1","47.4","21.1",".",".",".",".","10.5",".",".",".",".",".",".",".","."
"","635
002","25","3.660","48.0","36.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
030","33","3.712","48.5","45.5","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Security Analysis","Course Total","77","3.647","41.6","42.9","13.0",".",".",".",".","2.6",".",".",".",".",".",".",".","."
"Intro to Financial Mgmnt","700
031","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Corporatn Finance Thry&Prac","725
001","17","3.735","64.7","17.6","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Applied Portfolio Mgt","736
001","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Analysis Fixed Inc Securities","001
740","15","3.700","53.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","745
001","17","3.147","29.4","17.6","23.5","11.8","17.6",".",".",".",".",".",".",".",".",".",".","."
"","745
031","40","3.613","42.5","37.5","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","Course Total","57","3.474","38.6","31.6","21.1","3.5","5.3",".",".",".",".",".",".",".",".",".",".","."
