"LINGUISTICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"550
LINGUIS","","","","","","","","","","","","","","","","","","","",""
"Human Language","101","001","195","3.344","40.5","24.6","13.8","10.3","5.1","3.6","0.5","1.0",".",".",".",".","0.5",".",".","."
"Language & Immigration in Wisc","237","001","20","3.800","80.0","5.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301","001","27","3.611","51.9","29.6","11.1","3.7","3.7",".",".",".",".",".",".",".",".",".",".","."
"Language, History, and Society","303","001","26","3.846","84.6","3.8","7.7","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Grammatcl Variablty-Languag","309","001","12","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Morphology","322","001","19","3.342","52.6","15.8","21.1",".",".","5.3","5.3",".",".",".",".",".",".",".",".","."
"Field Methods II","427","001","15","2.733","20.0","6.7","13.3","20.0","40.0",".",".",".",".",".",".",".",".",".",".","."
"Junior Honors Tutorial","482","013","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Phonological Theories","510","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Syntactic Theories","530","001","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Honors Seminar-Sr Thesis","682","038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","699","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","977","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","","Course Total","3","***","","","","","","","","","","","","","","","",""
