"SOCIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"773
Intermediate Classical Theory","001","","17","3.844","76.5","5.9","11.8",".",".",".",".",".",".",".",".",".",".","5.9",".","."
"875","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","002","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Smr: Topics in Current Soc","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"922
Smr-Race & Ethnic Relations","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"923
Smr-Social Stratification","001","","9","3.929","66.7","11.1",".",".",".",".",".",".",".",".",".",".","22.2",".",".","."
"924","001","","10","3.813","50.0","30.0",".",".",".",".",".","10.0",".",".",".",".","10.0",".",".","."
"924","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Political Sociology","Course Total","","17","3.900","70.6","17.6",".",".",".",".",".","5.9",".",".",".",".","5.9",".",".","."
"929
Class Analysis&Hist Change","001","","9","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"940
Smr: Sociol-Econ Change","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"952
Math&Stat Applications-Soc","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"965
Smr-Recent Dev-Social Psych","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"972
Sem - Population & Development","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"983
Research: Economic Sociology","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"984
Rsch:Sociol of Gender Trainees","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"987
Rsch: Race & Ethnic Studies","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","071","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","081","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","082","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","084","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","093","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","094","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","096","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","244","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","","64","",".",".",".",".",".",".",".","93.8",".",".",".","6.3",".",".",".","."
