"MED","","","","","","","","","","","","","","","","","","","","",""
"PHYSIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"762
PHYSIOL","","","","","","","","","","","","","","","","","","","","",""
"PHYSIOL
762","Dept. Total","867","3.222","31.8","12.0","19.8","1.7","8.9","1.5","0.8","23.0","",".",".","",".","0.1","0.1","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"762
PHYSIOL","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","40","2.932","35.0","2.5","30.0","2.5","25.0","2.5","2.5",".","",".",".","",".",".",".",".",".","."
"Junior","","147","3.083","35.4","5.4","34.0","4.1","17.0","3.4","0.7",".","",".",".","",".",".",".",".",".","."
"Senior","","315","3.203","42.2","8.3","30.8","2.5","11.7","2.2","1.6","0.3","",".",".","",".",".",".","0.3",".","."
"Undergraduates","","502","3.145","39.6","7.0","31.7","3.0","14.3","2.6","1.4","0.2","",".",".","",".",".",".","0.2",".","."
"Special","","21","3.296","38.1","28.6","14.3",".","19.0",".",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","173","3.673","39.3","36.4","5.8",".","0.6",".",".","16.8","",".",".","",".","0.6","0.6",".",".","."
"Prof Yr 1","","168","",".",".",".",".",".",".",".","99.4","",".",".","",".",".",".",".","0.6","."
"Prof Yr 3","","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"Prof Yr 4","","2","4.000","50.0",".",".",".",".",".",".","50.0","",".",".","",".",".",".",".",".","."
"Professionals","","171","4.000","0.6",".",".",".",".",".",".","98.8","",".",".","",".",".",".",".","0.6","."
"","Dept. Total","867","3.222","31.8","12.0","19.8","1.7","8.9","1.5","0.8","23.0","",".",".","",".","0.1","0.1","0.1","0.1","."
