"POPULATION HEALTH SCIENCE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"471
Intro-Environmental Health","001","","43","3.610","30.2","55.8","9.3",".",".",".",".","4.7",".",".",".",".",".",".",".","."
"603
Clinicl&Pub Hlth Microbiol","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"626
Toxicology II","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"640
Foundations-Global Hlth Pract","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"644","010","","28","3.982","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"644","020","","9","3.813","55.6","33.3",".",".",".",".",".",".",".",".",".",".",".","11.1",".","."
"644","030","","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"644","040","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Health & Disease","Course Total","","79","3.974","93.7","5.1",".",".",".",".",".",".",".",".",".",".",".","1.3",".","."
"650","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"650","062","","76","3.526","47.4","23.7","21.1","5.3","1.3","1.3",".",".",".",".",".",".",".",".",".","."
"650","063","","37","3.851","70.3","29.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","114","3.635","55.3","25.4","14.0","3.5","0.9","0.9",".",".",".",".",".",".",".",".",".","."
"699","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","093","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","099","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","16","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","6.3",".","6.3","."
"750
Cancer Epidemiology","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"785
Health Sys, Mngmnt, & Policy","001","","50","3.617","38.0","42.0","12.0","2.0",".",".",".","2.0",".",".",".",".","4.0",".",".","."
"786
Social & Behav Sci-Public Hlth","001","","43","3.833","69.8","23.3","4.7",".",".",".",".",".",".",".",".",".","2.3",".",".","."
"787
MPH Field Experience Seminar","001","","19","3.556","42.1","21.1","31.6",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"788
Public Health Field Experience","001","","17","3.800","29.4","5.9","5.9",".",".",".",".",".",".",".",".",".","58.8",".",".","."
"796
Intro-Health Services Research","001","","19","3.816","63.2","36.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"798
Epidemiologic Methods","001","","29","3.569","41.4","34.5","20.7","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"800
Quant Meth-Population Health I","001","","26","3.500","26.9","50.0","19.2","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"801
Epidemiology-Infect Disease","001","","20","3.725","55.0","35.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"820
Graduate Research Seminar","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"848
Health Economics","001","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"875
Assess-Medical Technologies","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"911
Epidemiol Elect-Div of Hlth","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"913
Clin Chem-Newborn-StateLab","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","001","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"915","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"915","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"915","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"915","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"915","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"915","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"June 23, 2011","","","","","","","","","","","","","","","","","","","Page 371 of 403",""
