"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"LITERATURE IN TRANSLATION","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","","",""
"19&20th C Russn Lit Tran II","202","001","36","3.667","58.3","5.6","27.8",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"19&20 C Russian Lit Tran II","204","001","68","3.625","61.8","17.6","13.2","1.5","4.4","1.5",".",".",".",".",".",".",".",".",".","."
"Women in Russn Lit in Trans","205","001","7","3.714","71.4","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"The Writings of Vaclav Havel","208","001","21","3.925","90.5",".",".","4.8",".",".",".","4.8",".",".",".",".",".",".",".","."
"Polish Lit Tran:14-Mid 19 C","215","001","6","2.583","16.7","16.7","33.3",".","16.7",".","16.7",".",".",".",".",".",".",".",".","."
"Dostoevsky in Translation","222","001","40","3.554","47.5","17.5","20.0","5.0","2.5",".",".","5.0",".",".",".",".","2.5",".",".","."
"Anime","232","001","45","3.318","17.8","46.7","22.2","6.7","2.2","2.2",".","2.2",".",".",".",".",".",".",".","."
"Soviet Life&Cult (1917 on)","234","001","27","3.608","44.4","33.3","11.1","7.4",".",".",".","3.7",".",".",".",".",".",".",".","."
"Topics-Slavic Lit in Translatn","247","001","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Vampire in Literature and Film","248","001","270","3.736","57.0","32.6","10.0",".",".",".",".","0.4",".",".",".",".",".",".",".","."
"Lt Tran:Dante-Divine Comedy","253","001","37","3.114","29.7","18.9","21.6","8.1","8.1","8.1",".","2.7",".",".",".",".",".",".","2.7","."
"Survey-Japanese Lit in Tran","264","002","13","3.500","23.1","46.2","23.1",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","274","001","41","3.090","22.0","22.0","17.1","19.5","14.6",".",".","2.4",".",".",".",".","2.4",".",".","."
"","274","002","60","3.373","23.3","45.0","16.7","8.3","5.0",".",".",".",".",".",".",".","1.7",".",".","."
"Scand Lit in Tran-20th C","","Course Total","101","3.279","22.8","35.6","16.8","12.9","8.9",".",".","1.0",".",".",".",".","2.0",".",".","."
"","275","001","96","3.316","7.3","53.1","34.4","3.1","1.0",".",".","1.0",".",".",".",".",".",".",".","."
"","275","002","94","3.484","34.0","36.2","23.4","5.3","1.1",".",".",".",".",".",".",".",".",".",".","."
"In Transl:Hans C. Andersen","","Course Total","190","3.411","20.5","44.7","28.9","4.2","1.1",".",".","0.5",".",".",".",".",".",".",".","."
"German Classics-Translation","276","001","27","3.360","18.5","51.9","18.5",".",".",".","3.7","7.4",".",".",".",".",".",".",".","."
"SE Asian Lit in Translation","304","001","20","3.406","35.0","10.0","25.0","5.0","5.0",".",".",".",".",".",".",".","20.0",".",".","."
"Modern Jewish Literature","318","001","11","3.889","63.6","18.2",".",".",".",".",".","18.2",".",".",".",".",".",".",".","."
"Topics-Scandinavian Literature","324","001","77","3.713","61.0","23.4","13.0","1.3","1.3",".",".",".",".",".",".",".",".",".",".","."
"Topics in Dutch Lit in Tran","326","001","10","3.722","40.0","50.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","331","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","331","002","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","331","004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Trans:Scand Topics in Depth","","Course Total","13","3.654","69.2","23.1",".",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"Prophets of the Bible","332","001","9","3.444","55.6",".","33.3",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"In Trans:Mythlgy-Scandnavia","342","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fr&Ital Renaissance Lit Online","360","001","54","3.384","22.2","44.4","14.8","5.6","3.7","1.9",".","5.6",".",".",".",".",".","1.9",".","."
"Topics in Japanese Lit","373","001","15","3.643","60.0","13.3","13.3",".","6.7",".",".","6.7",".",".",".",".",".",".",".","."
"Topics in Korean Literature","374","001","18","3.824","66.7","22.2","5.6",".",".",".",".","5.6",".",".",".",".",".",".",".","."
