"MATERIALS SCI AND ENGINEERI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"331
Transport Phenom-Materials","001","","17","3.206","23.5","11.8","52.9","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"333
Microprocessing-Materials","001","","22","3.727","63.6","22.7","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"350
Intro to Materials Science","001","","140","3.264","44.3","19.3","15.0","5.0","9.3","5.7","1.4",".",".",".",".",".",".",".",".","."
"352
Transformation of Solids","001","","23","3.022","26.1","4.3","39.1","17.4","8.7","4.3",".",".",".",".",".",".",".",".",".","."
"361","001","","12","3.455","33.3","33.3","8.3","16.7",".",".",".",".",".",".",".",".","8.3",".",".","."
"361","002","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Materials Laboratory II","Course Total","","18","3.625","50.0","22.2","5.6","11.1",".",".",".",".",".",".",".",".","11.1",".",".","."
"379
Materials Sys&Design Proj I","001","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"390
Materials Sys&Desgn Proj II","001","","10","3.650","30.0","70.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"421
Polymeric Materials","001","","37","3.444","32.4","29.7","27.0","8.1",".",".",".",".",".",".",".",".",".",".","2.7","."
"434
Intro Thin-Film Deposition","001","","14","3.536","42.9","28.6","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"435
Joining of Materials","001","","25","3.360","20.0","44.0","28.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"474
Rock Mechanics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"748
Structural Anal of Matrial","001","","18","3.278","16.7","38.9","33.3","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"758
Trans Electron Microscopy Lab","001","","10","",".",".",".",".",".",".",".","60.0",".",".",".",".","40.0",".",".","."
"790","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","012","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"790","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","32","",".",".",".",".",".",".",".","62.5",".",".",".","37.5",".",".",".","."
"803","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"803","002","","19","3.711","57.9","26.3","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"803","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"803","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"803","006","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"803","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"803","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"803","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"803","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics-Materials Sci","Course Total","","65","3.885","80.0","7.7","4.6",".",".",".",".","7.7",".",".",".",".",".",".",".","."
