"L&S","","","","","","","","","","","","","","","","","","","",""
"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"SOC
900","Dept. Total","3213","3.292","37.1","19.4","18.3","8.7","6.0","1.9","1.0","6.1","0.0","0.3","",".","0.2","0.8","0.1","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","342","3.015","19.3","20.2","28.7","17.3","9.9","2.6","0.6","0.3",".","0.9","",".",".","0.3",".",".","."
"Sophomore","","713","3.211","32.4","22.7","24.0","10.9","6.3","1.4","1.7",".",".","0.3","",".",".","0.3",".",".","."
"Junior","","707","3.350","39.7","23.3","18.4","9.8","5.2","1.7","0.6","0.3",".","0.4","",".",".","0.4","0.1",".","."
"Senior","","1025","3.325","42.0","19.1","16.8","6.6","7.3","2.8","1.3","2.0","0.1","0.3","",".","0.1","1.1","0.1","0.3","."
"Undergraduates","","2787","3.260","36.2","21.2","20.5","9.8","6.9","2.2","1.1","0.9","0.0","0.4","",".","0.0","0.6","0.1","0.1","."
"Special","","16","2.837","31.3","6.3","12.5","18.8","18.8",".","6.3",".",".",".","",".",".",".",".","6.3","."
"Graduate","","403","3.841","42.4","7.4","3.2","0.5",".",".",".","42.4",".",".","",".","1.5","2.0",".","0.5","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 4","","6","3.786","83.3",".","16.7",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","7","3.824","85.7",".","14.3",".",".",".",".",".",".",".","",".",".",".",".",".","."
"","Dept. Total","3213","3.292","37.1","19.4","18.3","8.7","6.0","1.9","1.0","6.1","0.0","0.3","",".","0.2","0.8","0.1","0.2","."
