"REHAB PSYCH & SPECIAL EDU","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","",""
"300","001","","96","3.776","64.6","27.1","7.3","1.0",".",".",".",".",".",".",".",".",".",".",".","."
"300","002","","78","3.776","69.2","21.8","5.1","2.6","1.3",".",".",".",".",".",".",".",".",".",".","."
"Individls with Disabilities","Course Total","","174","3.776","66.7","24.7","6.3","1.7","0.6",".",".",".",".",".",".",".",".",".",".","."
"330
Behav Anal:Person-Disabilty","001","","27","3.731","55.6","33.3","3.7","3.7",".",".",".",".",".",".",".",".","3.7",".",".","."
"470
Indiv/Learn & Behav Disability","001","","31","3.871","87.1","3.2","6.5","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"472
Mth&Curric:Lrn&Bhv Dis, 6-12","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"474
Diagnosis&Assessmt:Lrn&Bhv Dis","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"475","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"475","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"475","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract: Stdts/Lrn&Bhv Dis, K-9","Course Total","","5","***","","","","","","","","","","","","","","","",""
"476
Pract:Stdts/Lrn&Bhv Dis, 6-12","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"477","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"477","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach: Lrn&Bhv Dis, K-9","Course Total","","5","***","","","","","","","","","","","","","","","",""
"478","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"478","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"478","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach:Lrn & Bhv Dis, 6-12","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"479
Lang&Readng: Learn&Behav Disab","001","","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"501
Rehab-Cnslg Psych: Applcatn","001","","20","3.775","65.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"550
Rehab Psych-Medical Aspects","001","","22","3.824","54.5","18.2","4.5",".",".",".",".",".",".",".",".",".","22.7",".",".","."
"630","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"630","019","","29","3.987","96.6","3.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"630","020","","21","3.979","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrshp-Rehab or Spec Educ","Course Total","","51","3.984","96.1","3.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"660","033","","14","3.923","78.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","7.1","."
"660","034","","16","3.719","62.5","25.0","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"660","037","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"660","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","36","3.829","72.2","19.4","2.8","2.8",".",".",".",".",".",".",".",".",".",".","2.8","."
"690","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"690","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","6","3.813","50.0","16.7",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"710
Multiculturl Issues-Special Ed","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
