"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"450","003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Japanese for Politics&Govrnmnt","Course Total","5","***","","","","","","","","","","","","","","","",""
"470
Engr Prob Solving with Comptrs","001","30","3.911","76.7","16.7",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"497
Technical Editing","001","10","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"499","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"499","033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Independent Study","Course Total","8","3.944","75.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","12.5","."
"518
Quality Engr & Quality Mgmnt","001","28","3.929","89.3","7.1","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"617
Communicating Technical Info","001","30","3.852","63.3","26.7",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"624
Engine Performance&Combustion","001","31","3.696","45.2","35.5","9.7",".",".",".",".",".",".",".",".",".","6.5",".","3.2","."
"630
Rsch-Japanese Technical Lit","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"690","002","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"690","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"690","006","31","3.793","64.5","19.4","9.7",".",".",".",".",".",".",".",".",".","3.2",".","3.2","."
"690","007","28","3.946","92.9","3.6","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"690","008","3","***","","","","","","","","","",".",".",".",".",".",".","."
"690","009","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"690","016","16","3.800","68.8","12.5","12.5",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Special Topics in E P D","Course Total","108","3.912","80.6","11.1","5.6",".",".",".",".",".",".",".",".",".","1.9",".","0.9","."
"699","022","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","4","***","","","","","","","","","","","","","","","",""
"E P D
348","Dept. Total","936","3.606","48.9","25.3","11.6","3.0","0.7","0.3","0.5","6.9",".",".",".",".","2.0",".","0.5","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"Freshmen","","83","3.422","37.3","34.9","16.9","2.4","1.2",".","3.6","2.4",".",".",".",".","1.2",".",".","."
"Sophomore","","196","3.683","48.0","26.0","7.1",".","1.0","0.5","0.5","15.8",".",".",".",".","0.5",".","0.5","."
"Junior","","164","3.463","39.0","23.8","14.6","4.3","0.6","1.2","0.6","15.9",".",".",".",".",".",".",".","."
"Senior","","279","3.479","41.6","29.4","17.6","6.8","1.1",".",".","2.2",".",".",".",".","1.1",".","0.4","."
"Undergraduates","","722","3.512","42.2","27.8","14.0","3.9","1.0","0.4","0.7","9.0",".",".",".",".","0.7",".","0.3","."
"Special","","13","3.906","46.2","15.4",".",".",".",".",".",".",".",".",".",".","30.8",".","7.7","."
"Graduate","","201","3.875","73.1","16.9","4.0",".",".",".",".",".",".",".",".",".","5.0",".","1.0","."
"","Dept. Total","936","3.606","48.9","25.3","11.6","3.0","0.7","0.3","0.5","6.9",".",".",".",".","2.0",".","0.5","."
