"ANIMAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"604
AN SCI","","","","","","","","","","","","","","","","","","","",""
"150
Career Orientation An/Poul Sci","001","","19","3.711","78.9","10.5",".","5.3",".","5.3",".",".",".",".",".",".",".",".",".","."
"200
Biol&Apprec-Companion Anmls","001","","145","2.819","22.1","20.0","13.8","13.1","18.6","10.3","1.4",".",".",".",".",".","0.7",".",".","."
"221
Adv Meat Animal Eval Lab","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","19","3.912","78.9","10.5","5.3",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"305
Intro-Meat Sci & Technology","001","","28","3.107","25.0","39.3","7.1","10.7","10.7","3.6","3.6",".",".",".",".",".",".",".",".","."
"311
Comparative Animal Nutritn","001","","50","3.330","36.0","34.0","8.0","12.0","6.0","4.0",".",".",".",".",".",".",".",".",".","."
"313","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"313","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Animal Feeds&Diet Formulatn","Course Total","","8","3.563","62.5",".","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"320
Animal Health & Disease Mgt","001","","35","3.643","57.1","22.9","11.4","8.6",".",".",".",".",".",".",".",".",".",".",".","."
"321
Food Laws and Regulations","001","","6","2.250",".","16.7","16.7","33.3","16.7",".","16.7",".",".",".",".",".",".",".",".","."
"361
Intro to Animal & Vet Genetics","001","","35","3.457","51.4",".","45.7",".",".","2.9",".",".",".",".",".",".",".",".",".","."
"362
Veterinary Genetics","001","","18","3.472","44.4","16.7","33.3",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"363
Principles of Animal Breeding","001","","18","3.444","50.0","5.6","33.3","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"375","001","","18","4.000","94.4",".",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"375","002","","20","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","003","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","005","","13","3.462","15.4","61.5","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","006","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","76","3.767","78.9","11.8","6.6",".",".",".","1.3","1.3",".",".",".",".",".",".",".","."
"399","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","5","***","","","","","","","","","","","","","","","",""
"430
Sheep Production","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"468
Envir Impact-Livestock Operatn","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"520
Ornithology","001","","17","3.118","17.6","17.6","47.1","5.9","11.8",".",".",".",".",".",".",".",".",".",".","."
"521","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"521","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
