"HISTORY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"682","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"690
Thesis Colloquium","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"691","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"692","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","14","3.750","42.9","28.6","14.3","7.1",".",".",".",".",".",".",".",".","7.1",".",".","."
"713
Hist: Higher Ed-Europe&Amer","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"725
Prosem-Mod E Asian History","001","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"730
Prosem-Latin Amer History","001","","11","3.828","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"755
Prosem-S E Asian History","001","","10","3.768","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"801
Seminar-Ancient History","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"813
Smr-Byzantine Hist & Civ","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"829
Resrch Smr-Latin Amer Hist","001","","13","4.000","30.8",".",".",".",".",".",".","69.2",".",".",".",".",".",".",".","."
"845
Smr-Central European Hist","001","","13","3.921","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"849
Smr-Hist Imp Russia, 1649-1917","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"861","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"861","002","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-History of Africa","Course Total","","16","3.967","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"891
Prosem-Mod European History","001","","11","3.636","36.4","54.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Studies in American History","001","","9","3.857","55.6","22.2",".",".",".",".",".",".",".",".",".",".","22.2",".",".","."
"940
Smr-Amer History 1900-1945","001","","13","3.955","76.9","7.7",".",".",".",".",".",".",".",".",".",".","15.4",".",".","."
"945
Smr-Amer Hist 1929-Present","001","","15","3.944","53.3","6.7",".",".",".",".",".",".",".",".",".",".","40.0",".",".","."
"958
Smr-Amer Military History","001","","17","3.844","70.6","17.6","5.9",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"976
Probs-Archives: Manuscripts","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"June 23, 2011","","","","","","","","","","","","","","","","","","","Page 225 of 403",""
