"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","160
001","21","3.381","23.8","33.3","38.1","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","160
002","17","3.559","47.1","29.4","17.6",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","160
003","13","3.231","38.5","30.8","7.7","15.4",".",".","7.7",".",".",".",".",".",".",".",".","."
"Architectural Graphics","Course Total","51","3.402","35.3","31.4","23.5","5.9","2.0",".","2.0",".",".",".",".",".",".",".",".","."
"","170
001","22","3.591","59.1","9.1","27.3",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","170
002","24","3.292","29.2","20.8","33.3","12.5","4.2",".",".",".",".",".",".",".",".",".",".","."
"","170
003","13","3.577","76.9","7.7","7.7",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"","170
004","20","3.816","70.0","15.0","10.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Civil Engineering Graphics","Course Total","79","3.551","55.7","13.9","21.5","3.8","2.5",".","1.3","1.3",".",".",".",".",".",".",".","."
"Intro Engineering Graphics","231
001","155","2.945","21.9","24.5","18.7","16.1","8.4","5.8","3.9",".",".",".",".",".","0.6",".",".","."
"","240
001","34","2.676","11.8","26.5","11.8","20.6","20.6",".","8.8",".",".",".",".",".",".",".",".","."
"","240
002","34","2.652","26.5","2.9","20.6","11.8","17.6","14.7","2.9",".",".",".",".",".","2.9",".",".","."
"","003
240","45","2.600","13.3","17.8","20.0","13.3","20.0","11.1","4.4",".",".",".",".",".",".",".",".","."
"Dynamics","Course Total","113","2.638","16.8","15.9","17.7","15.0","19.5","8.8","5.3",".",".",".",".",".","0.9",".",".","."
"","291
050","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","291
051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergrad Mech Engr Project","Course Total","4","***","","","","","","","","","","","","","","","",""
"Independent Study","299
050","41","3.840","70.7","24.4","2.4",".",".",".",".",".",".",".",".",".","2.4",".",".","."
"","306
001","53","2.934","17.0","20.8","28.3","11.3","17.0","5.7",".",".",".",".",".",".",".",".",".","."
"","002
306","60","2.667","15.0","10.0","35.0","13.3","11.7","10.0","5.0",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","113","2.792","15.9","15.0","31.9","12.4","14.2","8.0","2.7",".",".",".",".",".",".",".",".","."
"","307
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
002","6","3.083",".","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","307
003","8","2.938","12.5",".","62.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"","307
004","9","3.278","22.2","11.1","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
006","8","3.000","25.0","37.5","12.5","12.5",".",".","12.5",".",".",".",".",".",".",".",".","."
"","307
007","8","3.563","37.5","50.0",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","307
008","8","3.438","37.5","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","307
009","6","3.333","50.0",".","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","307
010","11","3.545","36.4","36.4","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
011","12","3.125",".","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","307
012","11","3.364","27.3","27.3","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","307
013","12","3.333","25.0","33.3","33.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","102","3.270","23.5","28.4","35.3","7.8","3.9",".","1.0",".",".",".",".",".",".",".",".","."
"","313
001","48","3.223","20.8","20.8","41.7","10.4","4.2",".",".",".",".",".",".",".","2.1",".",".","."
"","313
002","45","3.167","11.1","33.3","37.8","13.3","4.4",".",".",".",".",".",".",".",".",".",".","."
"Manufacturing Processes","Course Total","93","3.196","16.1","26.9","39.8","11.8","4.3",".",".",".",".",".",".",".","1.1",".",".","."
"","001
314","46","3.098","2.2","43.5","39.1","10.9","2.2",".","2.2",".",".",".",".",".",".",".",".","."
"","314
002","42","3.048","2.4","42.9","35.7","9.5","7.1",".","2.4",".",".",".",".",".",".",".",".","."
"Manufacturing Fundamentals","Course Total","88","3.074","2.3","43.2","37.5","10.2","4.5",".","2.3",".",".",".",".",".",".",".",".","."
"Geom Modeling-Engr Applcatn","331
001","94","3.016","9.6","28.7","38.3","10.6","8.5","4.3",".",".",".",".",".",".",".",".",".","."
"","340
001","34","2.618","20.6","8.8","23.5","14.7","17.6","5.9","8.8",".",".",".",".",".",".",".",".","."
"","340
002","55","2.870","29.1","7.3","14.5","21.8","20.0","1.8","3.6",".",".",".",".",".","1.8",".",".","."
