"NUCLEAR ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"684
N E","","","","","","","","","","","","","","","","","","","",""
"231
Survey-Nuclear Engineering","001","","32","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"405
Nuclear Reactor Theory","001","","33","2.985","24.2","3.0","48.5","12.1","6.1","3.0","3.0",".",".",".",".",".",".",".",".","."
"408
Ionizing Radiation","001","","37","2.917","18.9","16.2","21.6","27.0","8.1","2.7","2.7",".",".",".",".",".","2.7",".",".","."
"412
Nuclear Reactor Design","001","","17","3.488","29.4","41.2","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"427
Nuclear Instrumentation Lab","001","","13","3.542","30.8","38.5","23.1",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"428","001","","12","3.333","33.3",".","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"428","002","","12","3.333","33.3","16.7","41.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Nuclear Reactor Laboratory","Course Total","","24","3.333","33.3","8.3","54.2",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"525
Introduction to Plasmas","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"526
Lab Course in Plasmas","001","","12","3.550","25.0","41.7","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"528
Plasma Processng & Technlgy","001","","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"548
Engineering Analysis II","001","","7","3.667","42.9","28.6","14.3",".",".",".",".",".",".",".",".",".",".","14.3",".","."
"555
Nuclear Reactor Dynamics","001","","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"569
Health Physics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"571
Econ&Envr Aspect-Nuc Energy","001","","25","3.188","12.0","20.0","56.0","8.0",".",".",".","4.0",".",".",".",".",".",".",".","."
"574
Meth-Risk Anal Nuc Pwr Plnt","001","","12","3.500","33.3","41.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"699
Advanced Independent Study","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"725
Plasma Kinetic&Radiatn Proc","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"741
Interactn-Radiation&Matter","001","","12","3.708","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","15","",".",".",".",".",".",".",".","53.3",".",".",".","46.7",".",".",".","."
"890","005","","8","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"890","008","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","010","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"890","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","013","","6","",".",".",".",".",".",".",".","16.7",".",".",".","83.3",".",".",".","."
"890","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","43","",".",".",".",".",".",".",".","41.9",".",".",".","58.1",".",".",".","."
"922
Seminar in Plasma Physics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"June 23, 2011","","","","","","","","","","","","","","","","","","","Page 138 of 403",""
