"ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"Feedback Control Systems","332
001","","29","3.086","31.0","13.8","20.7","10.3","24.1",".",".",".",".",".",".",".",".",".",".","."
"State Space System Analysis","334
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Microelectronic Devices","335
001","","41","2.902","26.8","12.2","24.4","7.3","24.4",".","4.9",".",".",".",".",".",".",".",".","."
"Electronic Circuits I","340
001","","53","3.142","32.1","11.3","24.5","20.8","9.4","1.9",".",".",".",".",".",".",".",".",".","."
"Electronic Circuits II","342
001","","39","2.654","25.6","7.7","7.7","30.8","15.4","5.1","7.7",".",".",".",".",".",".",".",".","."
"","352
001","","32","3.297","34.4","21.9","28.1","6.3","6.3","3.1",".",".",".",".",".",".",".",".",".","."
"","352
002","","29","3.000","17.2","20.7","37.9","6.9","10.3","6.9",".",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","","61","3.156","26.2","21.3","32.8","6.6","8.2","4.9",".",".",".",".",".",".",".",".",".","."
"Intro to Microprocessor Sys","353
001","","33","2.734","6.1","12.1","30.3","33.3","12.1",".","3.0","3.0",".",".",".",".",".",".",".","."
"","354
001","","18","3.556","66.7",".","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","354
002","","8","3.214","37.5",".","25.0","12.5","12.5",".",".","12.5",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","","26","3.460","57.7",".","23.1","3.8","11.5",".",".","3.8",".",".",".",".",".",".",".","."
"","355
001","","20","2.861","15.0","15.0","20.0","20.0","15.0","5.0",".",".","5.0",".",".",".",".",".","5.0","."
"","355
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","355
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Electromech Energy Conversn","Course Total","","26","2.978","15.4","19.2","23.1","15.4","11.5","3.8",".",".","3.8",".",".",".","3.8",".","3.8","."
"","370
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
002","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","Course Total","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electricl&Electronc Circuit","376
001","","127","3.189","24.4","11.0","50.4","9.4","3.1","1.6",".",".",".",".",".",".",".",".",".","."
"Elec&Elec-mech Power Conver","377
001","","83","3.384","30.1","34.9","21.7","7.2","3.6","1.2",".",".",".",".",".",".",".",".","1.2","."
"","399
004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
066","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","412
001","","37","3.297","48.6",".","37.8",".","10.8",".","2.7",".",".",".",".",".",".",".",".","."
"","412
003","","28","3.464","71.4",".","14.3",".","7.1","3.6","3.6",".",".",".",".",".",".",".",".","."
"Power Electronic Circuits","Course Total","","65","3.369","58.5",".","27.7",".","9.2","1.5","3.1",".",".",".",".",".",".",".",".","."
"Electromag Wave Transmissn","420
001","","12","2.667","41.7","8.3","8.3","8.3","8.3","8.3","16.7",".",".",".",".",".",".",".",".","."
"Digital Signl Processng Lab","432
001","","6","3.667","83.3",".",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Photonics","434
002","","15","3.333","20.0","40.0","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Cryptography","435
001","","8","2.813",".","12.5","50.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"Communication Systems II","437
001","","10","3.100","20.0","40.0","30.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"Embedded Microproc System Dsgn","453
001","","29","3.759","75.9","6.9","13.8",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"","489
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
091","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Senior Design Project","491
066","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Synchronous Machines","511
001","","15","3.357","26.7","26.7","33.3",".","6.7",".",".","6.7",".",".",".",".",".",".",".","."
"June 23, 2011","","","","","","","","","","","","","","","","","","","Page 115 of 403",""
