"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"PHMCOL-M","","","","","","","","","","","","","","","","","","","",""
"Sophomore","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Junior","3","3.750","66.7",".","33.3",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Senior","6","3.850","50.0","16.7",".",".",".",".",".",".","",".",".","",".",".","33.3",".",".","."
"Undergraduates","11","3.848","63.6","9.1","9.1",".",".",".",".",".","",".",".","",".",".","18.2",".",".","."
"Graduate","113","3.818","52.2","11.5","0.9","0.9","0.9","0.9","0.9","22.1","",".",".","",".","8.0",".",".","1.8","."
"Prof Yr 1","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"Prof Yr 3","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"Prof Yr 4","9","3.929","44.4","11.1",".",".",".",".",".","44.4","",".",".","",".",".",".",".",".","."
"Professionals","11","3.929","36.4","9.1",".",".",".",".",".","54.5","",".",".","",".",".",".",".",".","."
