"ASTRONOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"188
ASTRON","","","","","","","","","","","","","","","","","","","",""
"103","001","","112","3.068","22.3","23.2","22.3","15.2","12.5","0.9","1.8","0.9",".",".",".",".",".",".",".","0.9"
"103","002","","124","2.793","11.3","13.7","32.3","18.5","15.3","5.6","0.8","2.4",".",".",".",".",".",".",".","."
"103","003","","123","2.811","14.6","17.9","25.2","16.3","18.7","4.1","2.4","0.8",".",".",".",".",".",".",".","."
"The Evolving Universe","Course Total","","359","2.885","15.9","18.1","26.7","16.7","15.6","3.6","1.7","1.4",".",".",".",".",".",".",".","0.3"
"104
Exploration of Solar System","002","","35","2.941","20.0","17.1","20.0","17.1","20.0","2.9",".","2.9",".",".",".",".",".",".",".","."
"114","001","","6","2.250","33.3","16.7",".",".",".","33.3","16.7",".",".",".",".",".",".",".",".","."
"114","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"114","003","","19","3.500","36.8","36.8","10.5",".",".","5.3",".",".",".",".",".",".",".","10.5",".","."
"Hands on the Solar System","Course Total","","30","3.250","36.7","33.3","10.0",".",".","10.0","3.3",".",".",".",".",".",".","6.7",".","."
"160
Life in the Universe","001","","131","2.593","11.5","12.2","17.6","29.8","10.7","8.4","4.6","5.3",".",".",".",".",".",".",".","."
"320
The Interstellar Medium","001","","7","3.250","28.6","14.3","28.6",".","14.3",".",".","14.3",".",".",".",".",".",".",".","."
"500
Tech-Mod Observatl Astrophy","002","","15","3.767","60.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"550
Astrodynamics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"682
Senior Honors Thesis","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"692","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"702
Basic Astrophysics II","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"715
Stellar Interiors&Evolution","001","","14","3.393","21.4","35.7","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"910
Seminar in Astrophysics","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","24","",".",".",".",".",".",".",".","70.8",".",".",".","29.2",".",".",".","."
