"296
ECON","","","","","","","","","","","","","","","","","","","",""
"","990
004","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"Thesis","Course Total","3","***","","","","","","","","","","","","","","","","",""
"Independent Work","999
004","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"ECON
296","Dept. Total","4453","2.970","21.6","19.3","23.9","15.8","12.4","4.0","1.5","0.7","0.0","0.1","",".","0.0","0.3","0.0","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","548","2.938","19.0","19.2","24.1","19.7","13.1","2.9","1.6","0.2",".",".","",".",".","0.2",".",".","."
"Sophomore","","1144","2.888","16.0","20.5","22.6","17.7","16.3","5.0","1.1","0.1","0.1",".","",".",".","0.3",".",".","0.2"
"Junior","","1025","2.874","16.9","19.6","25.1","16.6","13.7","5.7","1.9","0.4",".",".","",".",".","0.2",".",".","0.1"
"Senior","","1316","2.983","22.8","18.5","24.1","15.9","11.6","3.6","2.1","0.8",".","0.3","",".",".","0.3",".","0.1","."
"Undergraduates","","4033","2.922","18.8","19.4","23.9","17.1","13.6","4.4","1.7","0.4","0.0","0.1","",".",".","0.3",".","0.0","0.1"
"Special","","46","3.288","34.8","8.7","28.3","6.5","8.7",".",".","8.7",".",".","",".",".",".",".","4.3","."
"Graduate","","374","3.596","50.0","18.7","22.7","3.2",".",".","0.3","3.2",".",".","",".","0.3","0.8","0.3","0.5","."
"","Dept. Total","4453","2.970","21.6","19.3","23.9","15.8","12.4","4.0","1.5","0.7","0.0","0.1","",".","0.0","0.3","0.0","0.1","0.1"
