"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"","100
001","36","3.972","97.2",".","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
002","34","3.939","91.2",".","5.9",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"Introduction to Art","Course Total","70","3.957","94.3",".","4.3",".",".",".",".","1.4",".",".",".",".",".",".",".","."
"","102
001","14","3.357","35.7","21.4","28.6","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","102
002","17","3.176","23.5","35.3","23.5","11.8",".",".","5.9",".",".",".",".",".",".",".",".","."
"","102
003","15","3.433","46.7","33.3","13.3",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","102
004","14","3.250","71.4","7.1",".",".","7.1",".","14.3",".",".",".",".",".",".",".",".","."
"","102
005","15","3.567","53.3","20.0","20.0",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","102
006","17","3.031","41.2","11.8","17.6","5.9",".","11.8","5.9","5.9",".",".",".",".",".",".",".","."
"Two-Dimensional Design","Course Total","92","3.297","44.6","21.7","17.4","4.3","3.3","2.2","5.4","1.1",".",".",".",".",".",".",".","."
"","104
001","16","3.313","25.0","56.3","6.3","6.3",".",".","6.3",".",".",".",".",".",".",".",".","."
"","104
002","15","3.000","13.3","40.0","26.7",".",".","6.7","6.7",".",".",".",".",".","6.7",".",".","."
"","104
003","9","3.556","55.6","22.2","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","104
004","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
005","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Three-Dimensional Design","Course Total","65","3.516","50.8","29.2","10.8","1.5","1.5","1.5","3.1",".",".",".",".",".","1.5",".",".","."
"","112
002","19","3.474","31.6","52.6","10.5",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"","112
003","17","3.500","29.4","47.1","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","112
004","18","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
005","18","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
006","16","3.667","50.0","25.0","18.8",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"","112
007","18","3.306","38.9","22.2","22.2","5.6","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"","112
008","16","3.656","56.3","25.0","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","112
009","15","3.667","46.7","40.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drawing I","Course Total","137","3.540","40.9","35.0","19.0","2.2","0.7","1.5",".",".",".",".",".",".","0.7",".",".","."
"Current Directions in Art","208
001","122","2.849","11.5","27.9","25.4","13.1","9.8","5.7","4.1",".",".",".",".",".","1.6",".","0.8","."
"","212
001","13","3.423","46.2","23.1","15.4",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"","002
212","15","3.250","33.3","33.3","6.7","13.3",".",".","6.7","6.7",".",".",".",".",".",".",".","."
"","003
212","16","3.688","56.3","31.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","212
004","16","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
005","15","3.733","53.3","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drawing II","Course Total","75","3.581","48.0","36.0","6.7","4.0","2.7",".","1.3","1.3",".",".",".",".",".",".",".","."
"","214
001","7","3.346","28.6","42.9","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","214
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Sculpture I","Course Total","12","3.580","50.0","33.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","222
001","6","3.478","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","222
002","12","3.576","41.7","41.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","222
003","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Painting","Course Total","31","3.733","67.7","16.1","12.9","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"","224
001","14","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ceramics I","Course Total","27","3.868","74.1","25.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","232
001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
232","9","3.456","44.4","22.2","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".","."
