"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","",""
"","105
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
003","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","105
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","105
006","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
007","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev; Awareness Proc","Course Total","54","3.981","96.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","110
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","110
003","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
004","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
005","20","3.625","60.0","25.0",".","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","110
006","13","3.750","53.8","30.8","7.7",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","110
007","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
008","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
009","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
010","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".",".",".",".","14.3"
"Human Dev:Career Strategies","Course Total","84","3.866","81.0","11.9","1.2","2.4","1.2",".",".","1.2",".",".",".",".",".",".",".","1.2"
"","115
001","19","2.947","68.4",".",".",".","10.5",".","21.1",".",".",".",".",".",".",".",".","."
"","115
002","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
003","21","3.810","95.2",".",".",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"","115
004","18","3.889","94.4",".",".",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","115
005","20","3.800","95.0",".",".",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","115
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","008
115","16","3.533","62.5","6.3","6.3","6.3","12.5",".",".","6.3",".",".",".",".",".",".",".","."
"","115
010","13","3.654","76.9","7.7","7.7",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"","115
011","11","3.591","72.7",".","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","115
012","11","3.682","81.8",".",".","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","115
013","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
014","10","3.300","60.0",".","30.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"","115
015","10","3.350","60.0","20.0",".","10.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"","115
016","13","3.708","53.8","30.8",".","7.7",".",".",".",".",".",".",".",".",".",".",".","7.7"
"Human Dev: Ed Effectiveness","Course Total","195","3.637","77.9","6.7","3.6","2.6","3.6","0.5","4.1","0.5",".",".",".",".",".",".",".","0.5"
"","125
002","12","3.333","25.0","41.7","8.3","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","125
003","11","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"A Wisconsin Experience Seminar","Course Total","23","3.478","34.8","39.1","13.0","13.0",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Cnslg & Guidnce","620
001","22","3.822","68.2","13.6","9.1",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Theory & Prac-Interviewing","650
001","120","3.529","48.3","27.5","11.7","7.5","3.3",".","0.8","0.8",".",".",".",".",".",".",".","."
"","699
028","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
029","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal&Ethical Bases - Coun&Psy","735
001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psych of Individual Difference","736
001","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 23, 2011","","","","","","","","","","","","","","","","","","","Page 79 of 403"
