"ART DEPARTMENT","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"Special Topics","","Course Total","83","3.810","75.9","14.5","6.0",".","2.4",".",".",".",".",".",".",".","1.2",".",".","."
"Intmed Paint: New Figuration I","452","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Neon: Light as Sculpture","454","001","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Visual Comm & Research","458","001","11","3.182","27.3","18.2","45.5",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"Interdis Studies in the Arts","469","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Photography","476","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Relief Printmaking","506","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Colloquium in Art","508","001","133","3.534","61.7","9.0","19.5","3.0","1.5","0.8","3.0","0.8",".",".",".",".","0.8",".",".","."
"","512","001","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","512","002","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Drawing I","","Course Total","12","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Lithography","516","001","9","3.895","77.8",".","11.1",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Artist's Video","518","001","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Painting I","522","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Ceramics I","524","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Etching/Intaglio","526","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Computer-Mediated Art","528","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","532","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","532","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Life Drawing I","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Advanced Wood Working","534","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Serigraphy","536","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Art Metal I","544","001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Typography&Graphic Dsgn","546","001","9","3.313","22.2","11.1","55.6",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Adv Painting:New Figuration II","552","001","9","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Glassworking","554","001","10","3.500","30.0","50.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Graphic Design Technlgy","556","001","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Photography","576","001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Drawing II","612","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","622","001","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","622","002","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Undergrad Painting Workshp","","Course Total","24","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Life Drawing II","632","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Art of the Printed Book","646","001","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Design Portfolio & Prof Pract","656","001","10","3.500","50.0","10.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Art and Technology","660","001","7","3.833","71.4",".","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","699","000A","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","006","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 23, 2011","","","","","","","","","","","","","","","","","","","","Page 72 of 403"
