"GERMAN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","",""
"337
Adv Compositn & Conversatn","001","","25","3.512","28.0","52.0","8.0","12.0",".",".",".",".",".",".",".",".",".",".",".","."
"352
Topics-German Linguistics","001","","26","3.210","30.8","26.9","15.4","11.5","7.7","3.8",".",".",".",".",".",".",".",".",".","3.8"
"372","001","","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"372","002","","13","3.917","76.9","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","7.7"
"Topics in German Culture","Course Total","","29","3.929","86.2","6.9","3.4",".",".",".",".",".",".",".",".",".",".",".",".","3.4"
"385
Honors Seminar-German Lit","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"391
German for Grad Reading I","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"392
German for Grad Reading II","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"401","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"401","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"401","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"401","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Sem German for Grad Stdts","Course Total","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"402","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"402","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"402","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"402","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"402","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"2nd Sem German for Grad Stdts","Course Total","","10","3.700","70.0",".","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"403
3rd Sem German for Grad Stdts","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"404
4th Sem German for Grad Stdts","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"445
Topics in Dutch Culture","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"625
Letterkunde der Lage Landen","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"644
Theory & Practice of Drama","001","","12","3.909","83.3",".","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"651
Intro to Middle High German","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"677
Smr-German Culture Studies","001","","18","3.444","38.9","22.2","33.3",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"699
Directed Study","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"703
18th Century German Literature","001","","10","3.550","30.0","50.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"723
Pract-Teachng Undergrad Lit","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"727
Topics-Applied Linguistics","001","","12","3.909","75.0","16.7",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"755
Old Germanic Languages","001","","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"758
Topics-Contemporary German","001","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"947
Seminar-German Lit & Culture","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"960
Seminar-German Linguistics","001","","7","3.917","71.4","14.3",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"990","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"June 23, 2011","","","","","","","","","","","","","","","","","","","Page 219 of 403",""
