"L&S","","","","","","","","","","","","","","","","","","","","",""
"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","","",""
"CHEM
224","Dept. Total","5515","2.972","25.0","12.7","26.2","9.4","14.8","3.1","1.7","4.2","",".","1.3","",".","1.1","0.3","0.1","0.2","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","758","2.801","16.8","9.2","32.3","14.4","21.8","3.7","1.7",".","",".",".","",".",".","0.1",".",".","."
"Sophomore","","1723","2.990","23.7","13.2","31.5","9.3","17.7","3.0","1.5",".","",".",".","",".",".","0.1",".",".","0.1"
"Junior","","1370","2.955","25.0","14.5","27.2","10.4","16.7","4.1","1.8",".","",".",".","",".",".","0.1","0.1",".","0.1"
"Senior","","953","2.990","31.1","15.9","23.6","10.7","11.2","3.9","2.5","0.2","",".","0.2","",".","0.1","0.4",".","0.1","."
"Undergraduates","","4804","2.944","24.5","13.5","28.8","10.7","16.8","3.6","1.8","0.0","",".","0.0","",".","0.0","0.2","0.0","0.0","0.0"
"Special","","54","3.190","46.3","7.4","14.8","5.6","5.6","1.9","5.6","5.6","",".",".","",".",".","5.6",".","1.9","."
"Graduate","","822","3.628","40.0","5.6","6.3","0.2","0.6",".","0.1","29.0","",".","8.6","",".","7.4","0.4","0.1","1.6","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 4","","3","3.000",".",".","33.3",".",".",".",".","33.3","",".",".","",".","33.3",".",".",".","."
"Professionals","","4","3.200","25.0",".","25.0",".",".",".",".","25.0","",".",".","",".","25.0",".",".",".","."
"","Dept. Total","5684","2.972","26.9","12.3","25.4","9.1","14.3","3.0","1.6","4.3","",".","1.3","",".","1.1","0.2","0.1","0.3","0.0"
