"COMMUNICATION ARTS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","",""
"","100
001","9","3.278","22.2","22.2","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","002
100","12","3.667","50.0","41.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
003","13","3.577","30.8","53.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
004","13","3.231","23.1","38.5","7.7","23.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"","100
005","13","3.538","30.8","53.8","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
006","10","3.200","30.0","10.0","40.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","007
100","12","3.542","33.3","50.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
008","12","3.208","8.3","50.0","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","100
009","13","3.269","23.1","23.1","46.2",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","100
010","12","3.542","16.7","75.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
011","13","2.923","30.8","7.7","30.8","7.7","15.4",".","7.7",".",".",".",".",".",".",".",".","."
"","100
012","12","3.292","41.7","25.0","16.7",".","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"","100
013","11","3.545","18.2","72.7","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
014","13","3.038","15.4","46.2","15.4","7.7","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"","100
015","13","3.423","15.4","53.8","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","016
100","12","2.958","8.3","33.3","41.7","8.3",".",".","8.3",".",".",".",".",".",".",".",".","."
"","100
017","13","3.500","15.4","69.2","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
018","9","3.222",".","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","100
019","12","3.167","8.3","33.3","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
020","11","3.318","18.2","36.4","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","100
021","13","3.538","23.1","61.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
023","13","3.231",".","46.2","53.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
025","10","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
027","10","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
028","11","3.545","36.4","36.4","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
030","10","3.350","30.0","50.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"","100
031","13","3.731","53.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
032","12","3.250","16.7","33.3","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
033","12","3.333","25.0","33.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
034","11","3.545","27.3","54.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
035","11","3.455","18.2","54.5","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
036","13","3.115","15.4","30.8","38.5","7.7",".","7.7",".",".",".",".",".",".",".",".",".","."
"Intro to Speech Composition","Course Total","377","3.370","23.9","44.0","22.8","5.6","2.1","0.8","0.8",".",".",".",".",".",".",".",".","."
"","105
001","18","3.647","61.1","16.7","5.6","5.6","5.6",".",".","5.6",".",".",".",".",".",".",".","."
"","105
002","13","3.731","76.9","7.7",".","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","105
003","18","3.647","66.7","5.6","5.6","16.7",".",".",".","5.6",".",".",".",".",".",".",".","."
"","105
004","14","2.964","28.6","28.6","14.3","7.1","7.1","7.1","7.1",".",".",".",".",".",".",".",".","."
"","105
005","16","3.531","56.3","18.8","6.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","105
006","16","3.156","25.0","25.0","31.3","6.3","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"Public Speaking","Course Total","95","3.452","52.6","16.8","10.5","10.5","4.2","2.1","1.1","2.1",".",".",".",".",".",".",".","."
"Radio,TV&Film as Mass Media","250
001","221","3.186","14.9","37.6","29.9","10.4","5.4","0.9","0.9",".",".",".",".",".",".",".",".","."
"Communication & Human Behav","260
001","181","2.854","5.5","24.3","32.6","23.8","9.4","2.2","2.2",".",".",".",".",".",".",".",".","."
"Thry&Pract-Argument&Debate","262
001","127","3.060","5.5","31.5","40.2","11.8","7.9","0.8",".","2.4",".",".",".",".",".",".",".","."
"Thry&Pract-Group Discussion","266
001","93","3.140","18.3","31.2","26.9","11.8","10.8",".","1.1",".",".",".",".",".",".",".",".","."
"Intro-Interpersonal Com","272
001","144","3.056","18.8","23.6","32.6","13.9","5.6","4.2","1.4",".",".",".",".",".",".",".",".","."
"June 23, 2011","","","","","","","","","","","","","","","","","","Page 182 of 403",""
