"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"BIOCHEM","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","27","3.134","55.6","3.7","14.8",".","22.2","3.7",".",".","",".",".","",".",".",".",".",".","."
"Junior","211","3.156","41.2","12.8","16.6","10.4","14.2","2.8","0.9",".","",".",".","",".",".","0.9",".",".","."
"Senior","653","3.185","34.0","18.1","24.5","8.4","10.3","2.1","1.1","0.5","",".",".","",".",".","1.1",".",".","."
"Undergraduates","892","3.177","36.4","16.4","22.3","8.6","11.5","2.4","1.0","0.3","",".",".","",".",".","1.0",".",".","."
"Special","20","3.125","25.0","15.0","20.0","15.0","15.0",".",".","10.0","",".",".","",".",".",".",".",".","."
"Graduate","387","3.537","35.4","12.4","12.4","1.3","0.3",".",".","22.2","",".",".","",".","16.0",".",".",".","."
"Prof Yr 2","4","3.833","50.0","25.0",".",".",".",".",".","25.0","",".",".","",".",".",".",".",".","."
"Prof Yr 3","6","3.700","33.3","16.7",".",".",".",".",".",".","",".",".","",".","50.0",".",".",".","."
"Prof Yr 4","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","11","3.792","45.5","18.2",".",".",".",".",".","9.1","",".",".","",".","27.3",".",".",".","."
