"FOLKLORE PROGRAM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","","","",""
"Intro-Comparatv Ethnic Studies","102
001","11","3.318","18.2","36.4","36.4","9.1",".",".",".",".",".",".",".","",".","",".",".",".","."
"Intro-Mus Cult of the World","103
001","13","3.545","38.5","15.4","30.8",".",".",".",".","15.4",".",".",".","",".","",".",".",".","."
"The African Storyteller","210
001","39","2.797","17.9","15.4","25.6","12.8","12.8","5.1","5.1","2.6","2.6",".",".","",".","",".",".",".","."
"In Trans:Mythlgy-Scandnavia","342
001","18","3.612","33.3","50.0","11.1",".",".",".",".","5.6",".",".",".","",".","",".",".",".","."
"Shamanism","352
001","36","3.547","50.0","11.1","22.2","2.8",".","2.8",".","8.3",".",".",".","",".","","2.8",".",".","."
"","399
001","1","***","","","","","","","","","",".",".","",".","",".",".",".","."
"","399
002","1","***","","","","","","","","","",".",".","",".","",".",".",".","."
"Dir Stdy-Folklore Undergrad","Course Total","2","***","","","","","","","","","","","","","","","","","",""
"Sami Culture,Yesterday & Today","443
001","39","3.397","41.0","33.3","7.7","10.3","5.1",".","2.6",".",".",".",".","",".","",".",".",".","."
"Javanese Performance Repertory","453
001","4","***","","","","","","","","","",".",".","",".","",".",".",".","."
"Oral Tradition&Written Word","471
001","5","***","","","","","","","","","",".",".","",".","",".",".",".","."
"","530
001","2","***","","","","","","","","","",".",".","",".","",".",".",".","."
"","530
002","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"","004
530","24","3.850","62.5","16.7","4.2",".",".",".",".","8.3",".",".",".","",".","","8.3",".",".","."
"","530
005","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"","530
006","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"","007
530","47","3.932","83.0","8.5","2.1",".",".",".",".","4.3",".",".",".","",".","","2.1",".",".","."
"","530
008","1","***","","","","","","","","","",".",".","",".","",".",".",".","."
"Topics in Folklore","Course Total","101","3.779","78.2","10.9","2.0",".","1.0",".","1.0","4.0",".",".","",".","",".","3.0",".",".","."
"Local Culture-Upper Midwest","540
001","30","3.407","33.3","40.0","6.7",".","3.3","6.7",".","10.0",".",".",".","",".","",".",".",".","."
"Topics-Ethnographc Textiles","640
001","2","***","","","","","","","","","",".",".","",".","",".",".",".","."
"Independ Stdy-Folklore Grad","699
001","1","***","","","","","","","","","",".",".","",".","",".",".",".","."
"FOLKLORE
380","Dept. Total","301","3.409","50.5","20.6","12.0","3.7","3.7","1.7","1.7","4.7","0.3",".","",".","",".","1.3",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","10","3.220","50.0","10.0","20.0",".",".",".","10.0","10.0",".",".","",".","",".",".",".",".","."
"Sophomore","","30","3.132","36.7","10.0","26.7","13.3","10.0","3.3",".",".",".",".","",".","",".",".",".",".","."
"Junior","","54","3.262","42.6","25.9","14.8","5.6","5.6",".","3.7",".",".",".","",".","",".","1.9",".",".","."
"Senior","","185","3.489","53.5","22.2","9.7","2.2","2.7","2.2","1.1","5.4","0.5",".","",".","",".","0.5",".",".","."
"Undergraduates","","279","3.390","49.5","21.1","12.9","3.9","3.9","1.8","1.8","3.9","0.4",".","",".","",".","0.7",".",".","."
"Special","","6","4.000","50.0",".",".",".",".",".",".","50.0",".",".","",".","",".",".",".",".","."
"Graduate","","16","3.815","68.8","18.8",".",".",".",".",".",".",".",".","",".","",".","12.5",".",".","."
"","Dept. Total","301","3.409","50.5","20.6","12.0","3.7","3.7","1.7","1.7","4.7","0.3",".","",".","",".","1.3",".",".","."
