"MEDICAL SCIENCES - VET MED","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","",""
"Animal Hlth Hist Restraint","570
001","81","4.000","6.2",".",".",".",".",".",".","93.8",".",".",".",".",".",".",".","."
"Vet Diag&Therapeut Techniq","625
001","77","4.000","92.2",".",".",".",".",".",".","7.8",".",".",".",".",".",".",".","."
"Veterinary Nutrition","629
001","81","3.562","34.6","43.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Companion Animal&Equine Med II","633
001","77","3.448","35.1","26.0","33.8","3.9","1.3",".",".",".",".",".",".",".",".",".",".","."
"Small Animal Neurology","667
001","26","4.000","57.7",".",".",".",".",".",".","42.3",".",".",".",".",".",".",".","."
"Clin Dermatology Rotation","668
001","27","4.000","59.3",".",".",".",".",".",".","40.7",".",".",".",".",".",".",".","."
"Small Anml Cardiolgy Rotatn","669
001","27","4.000","18.5",".",".",".",".",".",".","81.5",".",".",".",".",".",".",".","."
"","670
001","32","4.000","31.3",".",".",".",".",".",".","68.8",".",".",".",".",".",".",".","."
"","670
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Rotation:Lrge Animal Med","Course Total","37","4.000","35.1",".",".",".",".",".",".","64.9",".",".",".",".",".",".",".","."
"","672
001","10","4.000","40.0",".",".",".",".",".",".","60.0",".",".",".",".",".",".",".","."
"","672
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Rotation:Theriogenology","Course Total","11","4.000","36.4",".",".",".",".",".",".","63.6",".",".",".",".",".",".",".","."
"Sr Rotation:Ambulatory Serv","674
001","49","4.000","32.7",".",".",".",".",".",".","65.3",".",".",".",".",".",".","2.0","."
"","675
001","37","4.000","73.0",".",".",".",".",".",".","24.3",".",".",".",".",".",".","2.7","."
"","675
003","39","4.000","87.2",".",".",".",".",".",".","12.8",".",".",".",".",".",".",".","."
"","675
006","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
007","18","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"","675
008","47","4.000","4.3",".",".",".",".",".",".","95.7",".",".",".",".",".",".",".","."
"","675
009","80","",".",".",".",".",".",".",".","86.3",".",".",".",".","13.8",".",".","."
"","675
010","34","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
011","7","4.000","14.3",".",".",".",".",".",".","85.7",".",".",".",".",".",".",".","."
"","675
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
015","73","",".",".",".",".",".",".",".","86.3",".",".",".",".","13.7",".",".","."
"","675
021","77","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
023","77","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","506","4.000","14.0",".",".",".",".",".",".","81.6",".",".",".",".","4.2",".","0.2","."
"","678
001","50","4.000","66.0",".",".",".",".",".",".","34.0",".",".",".",".",".",".",".","."
"","678
002","7","4.000","42.9",".",".",".",".",".",".","42.9",".",".",".",".",".",".","14.3","."
"Small Animal Internal Med","Course Total","57","4.000","63.2",".",".",".",".",".",".","35.1",".",".",".",".",".",".","1.8","."
"Small Animal Oncology","679
001","19","4.000","84.2",".",".",".",".",".",".","15.8",".",".",".",".",".",".",".","."
"","699
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
028","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
041","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","16","3.893","68.8","6.3","6.3",".",".",".",".","18.8",".",".",".",".",".",".",".","."
"Production Medicine II","703
001","6","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"June 23, 2011","","","","","","","","","","","","","","","","","","Page 395 of 403",""
