"LIFE SCIENCES COMMUNICATIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","","",""
"","100
001","","11","3.591","54.5","9.1","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
002","","20","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
003","","18","3.556","66.7","16.7","5.6","5.6",".",".","5.6",".",".",".",".",".",".",".",".","."
"","100
004","","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
005","","13","3.538","46.2","30.8","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","","81","3.636","59.3","19.8","17.3","1.2","1.2",".","1.2",".",".",".",".",".",".",".",".","."
"Sci&Technology Newswriting","111
001","","19","3.132","26.3","21.1","26.3","5.3","21.1",".",".",".",".",".",".",".",".",".",".","."
"","212
001","","19","3.789","84.2",".","10.5",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","212
002","","15","3.464","66.7","6.7",".",".","13.3","6.7",".","6.7",".",".",".",".",".",".",".","."
"Intro-Scientific Communication","Course Total","","34","3.652","76.5","2.9","5.9",".","8.8","2.9",".","2.9",".",".",".",".",".",".",".","."
"","299
012","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","299
034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Feature Writing","320
001","","10","3.100","30.0","40.0","10.0",".","10.0",".","10.0",".",".",".",".",".",".",".",".","."
"Print&Electronic Media Dsgn","332
001","","15","3.733","46.7","53.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Visualizing Sci & Technology","350
001","","20","3.850","75.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Radio","360
001","","19","3.842","78.9","10.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
001","","15","3.453","26.7","46.7","20.0",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","375
002","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
005","","8","3.820","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
375","","12","3.514","50.0","25.0","8.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","375
008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
009","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","61","3.746","67.2","19.7","8.2","1.6","3.3",".",".",".",".",".",".",".",".",".",".","."
"","399
012","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Integrated Marktng Communicatn","435
001","","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Comm Tech&Soc Effct","440
001","","37","3.181","21.6","45.9","13.5",".","10.8",".","5.4",".",".",".",".",".","2.7",".",".","."
"Native Amer Envir Iss & Media","444
001","","46","3.511","60.9","13.0","6.5","8.7","6.5",".","2.2",".",".",".",".",".",".",".","2.2","."
"Photography for the Sciences","450
001","","19","3.778","73.7","10.5","5.3",".","5.3",".",".",".",".",".",".",".","5.3",".",".","."
"Pub Info Campaigns & Progms","515
001","","21","3.810","76.2","19.0",".",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Web Design for the Sciences","532
001","","15","3.800","73.3","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Video Production","614
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Hlth Communication-Info Age","617
001","","18","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Colloq in Life Sci Communicatn","700
001","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Sci & Envir Communication","860
001","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","875
007","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 23, 2011","","","","","","","","","","","","","","","","","","","","Page 4 of 403"
