"ANTHROPOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"","100","001","109","2.745","17.4","9.2","21.1","13.8","35.8","0.9","0.9",".",".",".",".",".","0.9",".",".","."
"","100","002","105","2.786","19.0","6.7","29.5","8.6","31.4","1.0","1.9",".","1.0",".",".",".",".",".",".","1.0"
"General Anthropology","","Course Total","214","2.765","18.2","7.9","25.2","11.2","33.6","0.9","1.4",".","0.5",".",".",".","0.5",".",".","0.5"
"Archaeology & Prehist World","102","001","110","2.741","18.2","6.4","23.6","12.7","31.8","2.7","0.9","3.6",".",".",".",".",".",".",".","."
"","104","001","362","2.993","11.6","13.8","51.9","12.4","6.4","2.5","0.6","0.6",".",".",".",".",".","0.3",".","."
"","104","002","335","2.962","7.5","12.2","56.7","14.9","6.3","0.9","0.6","0.9",".",".",".",".",".",".",".","."
"Cult Anthro&Human Diversity","","Course Total","697","2.978","9.6","13.1","54.2","13.6","6.3","1.7","0.6","0.7",".",".",".",".",".","0.1",".","."
"Principles - Biological Anthro","105","001","160","2.994","22.5","23.1","20.6","11.9","9.4","6.9","1.9","0.6",".",".",".",".","0.6",".",".","2.5"
"Principles of Archaeology","112","001","105","3.071","20.0","18.1","28.6","26.7","4.8","1.9",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","15","3.100","33.3","13.3","6.7","33.3","13.3",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","23","3.119","21.7","8.7","52.2","4.3",".",".","4.3","8.7",".",".",".",".",".",".",".","."
"Cult Anthro:Thry&Ethnogrphy","300","001","39","2.947","23.1","7.7","35.9","2.6","25.6","2.6",".",".",".",".",".",".",".",".","2.6","."
"Intro Ling-Descript&Theoret","301","001","25","3.340","40.0","20.0","20.0","16.0",".","4.0",".",".",".",".",".",".",".",".",".","."
"Heredity,Envr&Human Popultn","304","001","48","3.652","31.3","62.5","2.1",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"Topics in Archaeology","310","001","32","3.450","43.8","12.5","25.0","9.4","3.1",".",".","6.3",".",".",".",".",".",".",".","."
"Archaeological Chemistry","311","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Origins of Civilization","322","001","58","3.336","39.7","20.7","24.1","5.2","8.6",".","1.7",".",".",".",".",".",".",".",".","."
"","330","001","18","3.227","44.4","16.7","16.7","11.1","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"","330","002","8","3.339","37.5",".","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Ethnology","","Course Total","26","3.265","42.3","11.5","26.9","11.5","3.8",".","3.8",".",".",".",".",".",".",".",".","."
"Prehistory of Africa","333","001","13","3.192","38.5","7.7","23.1","15.4","15.4",".",".",".",".",".",".",".",".",".",".","."
"Anthropology of Religion","343","001","22","3.541","45.5","18.2","27.3","4.5",".",".",".","4.5",".",".",".",".",".",".",".","."
"Elementary Quechua","362","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Quechua","364","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Medical Anthropology","365","001","30","3.450","26.7","43.3","26.7",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"Field Course in Archaeology","370","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Yucatec Maya","377","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Evolutionary Biology","410","001","30","2.850","30.0","13.3","20.0","10.0","13.3","6.7","6.7",".",".",".",".",".",".",".",".","."
"Historical Anthropology","424","001","13","3.800","46.2","30.8",".",".",".",".",".",".",".",".",".",".","23.1",".",".","."
"Language and Culture","430","001","29","3.523","24.1","48.3","20.7",".",".",".",".","3.4",".",".",".",".","3.4",".",".","."
"","490","001","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","003","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","","Course Total","32","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ecological Models-Behavior","658","001","18","3.472","16.7","61.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682","044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","062","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","4","***","","","","","","","","","","","","","","","",""
"","690","001","8","3.917","75.0","12.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","690","002","9","3.724","77.8","11.1",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"June 23, 2011","","","","","","","","","","","","","","","","","","","Page 160 of 403",""
