"SPANISH (SPANISH AND PORTU Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","","",""
"Survey of Modern Spanish Lit","Course Total","","46","3.435","52.2","19.6","17.4","2.2","2.2","4.3","2.2",".",".",".",".",".",".",".",".","."
"","325
001","","23","3.432","43.5","26.1","17.4","4.3",".",".","4.3","4.3",".",".",".",".",".",".",".","."
"","325
002","","23","3.196","26.1","34.8","13.0","13.0","8.7","4.3",".",".",".",".",".",".",".",".",".","."
"","004
325","","24","3.896","87.5","8.3",".","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","325
005","","25","3.761","60.0","20.0","12.0",".",".",".",".","8.0",".",".",".",".",".",".",".","."
"Advanced Conversation","Course Total","","95","3.576","54.7","22.1","10.5","5.3","2.1","1.1","1.1","3.2",".",".",".",".",".",".",".","."
"","326
001","","19","3.444","42.1","26.3","10.5","5.3","10.5",".",".","5.3",".",".",".",".",".",".",".","."
"","326
002","","19","3.263","42.1","21.1","10.5","21.1",".",".","5.3",".",".",".",".",".",".",".",".","."
"Survey of Spanish American Lit","Course Total","","38","3.351","42.1","23.7","10.5","13.2","5.3",".","2.6","2.6",".",".",".",".",".",".",".","."
"","327
001","","22","3.523","63.6","9.1","4.5","13.6","9.1",".",".",".",".",".",".",".",".",".",".","."
"","327
002","","24","3.813","83.3","4.2","8.3",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"Intro to Spanish Linguistics","Course Total","","46","3.674","73.9","6.5","6.5","6.5","6.5",".",".",".",".",".",".",".",".",".",".","."
"Spanish Business Area Study","359
001","","28","3.607","50.0","25.0","21.4","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Spanish Civilization","361
001","","23","3.576","56.5","17.4","21.7",".",".","4.3",".",".",".",".",".",".",".",".",".","."
"Spanish Amer Civilization","363
001","","27","2.698","11.1","14.8","14.8","25.9","22.2","7.4",".","3.7",".",".",".",".",".",".",".","."
"Literatura del Siglo de Oro","417
001","","20","3.500","35.0","35.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Romance Languages","429
001","","88","3.716","70.5","6.8","19.3","2.3","1.1",".",".",".",".",".",".",".",".",".",".","."
"Spanish Amer Short Story","461
001","","17","3.529","35.3","35.3","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","468
001","","22","3.572","50.0","13.6","27.3","4.5",".",".",".",".",".",".",".",".",".","4.5",".","."
"","468
002","","18","3.063","33.3","16.7","22.2",".","16.7","11.1",".",".",".",".",".",".",".",".",".","."
"","468
003","","13","3.088","46.2",".","15.4","23.1","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"","468
004","","25","3.500","32.0","44.0","20.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Topics in Hispanic Culture","Course Total","","78","3.350","39.7","21.8","21.8","5.1","6.4","3.8",".",".",".",".",".",".",".","1.3",".","."
"Survey of Medieval Lit","504
001","","18","3.861","72.2","27.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Survey-Spanish Lit","506
001","","26","3.692","53.8","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Old Spanish","541
001","","22","3.595","27.3","59.1","9.1",".",".",".",".",".",".",".",".",".",".","4.5",".","."
"Thry & Pract-Hispanic Theatre","564
001","","19","3.895","78.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682
020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Smr-Spanish American Lit","801
001","","14","3.607","50.0","21.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Spanish American Lit","802
001","","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Lang Smr: Modern Spanish","815
001","","13","3.875","76.9","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","7.7","."
"","899
016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","899
033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","899
034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","899
051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","4","***","","","","","","","","","","","","","","","",""
"","990
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"June 23, 2011","","","","","","","","","","","","","","","","","","","Page 311 of 403",""
