"Anal&Dsgn:Comptr-Based Sys","424
001","","7","3.929","85.7","14.3",".",".","",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Computer-Based Data Mgt","722
001","","6","3.833","66.7","33.3",".",".","",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Anal&Dsgn:Comptr-Based Sys","724
001","","2","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Contemporary Topics","765
001","","2","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"INFO SYS
234","Dept. Total","","45","3.535","48.9","28.9","11.1","2.2","",".","2.2","2.2","2.2","",".",".","",".","",".","",".","2.2",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"234
INFO SYS","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","1","1.000",".",".",".",".","",".","100.0",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","2","3.500",".","100.0",".",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","7","3.500","28.6","42.9","28.6",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","24","3.522","54.2","20.8","12.5","4.2","",".",".","4.2",".","",".",".","",".","",".","",".","4.2",".","."
"Undergraduates","","","34","3.439","44.1","29.4","14.7","2.9","",".","2.9","2.9",".","",".",".","",".","",".","",".","2.9",".","."
"Special","","","1","",".",".",".",".","",".",".",".","100.0","",".",".","",".","",".","",".",".",".","."
"Graduate","","","10","3.850","70.0","30.0",".",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","45","3.535","48.9","28.9","11.1","2.2","",".","2.2","2.2","2.2","",".",".","",".","",".","",".","2.2",".","."
