"ART EDUCATION (DEPT OF ART) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","",""
"322","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"322","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"322","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Art and Design in Teaching","Course Total","","4","***","","","","","","","","","","","","","","","",""
"326
Design Education","001","","15","3.964","86.7","6.7",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"423
Stdt Tchg-Elem School Art","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"424
Stdt Tchg-Secondary Sch Art","001","","15","4.000","86.7",".",".",".",".",".",".",".",".",".",".",".","13.3",".",".","."
"570
Art-Exceptional Education","001","","15","3.700","73.3","13.3",".","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"699","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading & Rsch","Course Total","","2","***","","","","","","","","","","","","","","","",""
"951
Seminar in Art Education","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999
Adv Independent Reading","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"ART ED
176","Dept. Total","","68","3.945","88.2","4.4",".","1.5","1.5",".",".",".",".",".",".",".","4.4",".",".","."
