"E ASIAN LANGUAGES & LITERA Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","","",""
"Second Semester Chinese","102","001","","83","3.723","62.7","26.5","8.4",".","1.2","1.2",".",".",".",".",".",".",".",".",".","."
"Second Semester Japanese","104","001","","92","3.292","25.0","39.1","14.1","8.7","7.6","2.2",".","3.3",".",".",".",".",".",".",".","."
"Elementary Korean","106","001","","31","3.774","67.7","25.8",".","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"","121","001","","22","3.929","86.4","4.5","4.5",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"","121","002","","25","3.729","56.0","28.0","12.0",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"","121","003","","20","3.639","65.0","15.0","5.0",".",".",".","5.0","10.0",".",".",".",".",".",".",".","."
"Elementary Chinese","","Course Total","","67","3.770","68.7","16.4","7.5",".",".",".","1.5","6.0",".",".",".",".",".",".",".","."
"","123","001","","18","3.471","66.7","11.1",".",".","5.6","11.1",".","5.6",".",".",".",".",".",".",".","."
"","123","002","","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","123","003","","20","3.806","60.0","25.0","5.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Elementary Japanese","","Course Total","","54","3.716","68.5","16.7","3.7",".","1.9","3.7",".","5.6",".",".",".",".",".",".",".","."
"Fourth Semester Chinese","202","001","","43","3.640","62.8","23.3","7.0","2.3",".","4.7",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Japanese","204","001","","50","3.255","42.0","14.0","16.0","12.0","10.0","4.0",".",".",".",".",".",".",".",".",".","2.0"
"Genres-Asian Religious Writing","235","001","","36","3.343","27.8","50.0","11.1",".","2.8",".","5.6",".",".",".",".",".","2.8",".",".","."
"Intro-Japanese Culture&Civ","253","001","","49","3.207","28.6","22.4","20.4","16.3","2.0","2.0","2.0","4.1","2.0",".",".",".",".",".",".","."
"Kendo:Intgratn-Mrtl&Lib Art","277","001","","24","3.383","37.5","20.8","25.0","8.3",".","4.2",".","4.2",".",".",".",".",".",".",".","."
"","299","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","037","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Humanities Topics in EAS","300","001","","12","3.625","58.3","16.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Sixth Semester Chinese","302","001","","39","3.577","51.3","30.8","5.1","7.7","5.1",".",".",".",".",".",".",".",".",".",".","."
"Sixth Semester Japanese","304","001","","30","3.467","40.0","26.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Chinese","312","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Chinese","318","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Japanese","320","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Yr Classical Chinese","322","001","","28","3.464","46.4","14.3","25.0","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Korean","326","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Japanese","328","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Basic Technical Japanese II","332","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist-China 589 AD-1919","337","001","","16","3.408","31.3","31.3","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Classic Chinese-Non-Majors","342","001","","30","3.883","76.7","23.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Korean","346","001","","13","3.804","76.9","7.7","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sixth Semester Korean","348","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey-Chinese Literature","352","001","","36","3.569","52.8","22.2","13.9","8.3","2.8",".",".",".",".",".",".",".",".",".",".","."
"Survey-Japanese Literature","354","002","","32","3.469","28.1","50.0","12.5","6.3","3.1",".",".",".",".",".",".",".",".",".",".","."
"Masterworks: The Tale of Genji","361","001","","12","3.091","25.0","25.0","8.3","8.3","25.0",".",".","8.3",".",".",".",".",".",".",".","."
"Intro to Confucianism","363","001","","10","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Buddhism","364","001","","26","3.596","50.0","23.1","23.1","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Chinese Literature","371","001","","42","3.369","45.2","21.4","14.3","9.5","7.1",".","2.4",".",".",".",".",".",".",".",".","."
"Anime","378","001","","27","3.423","25.9","48.1","14.8","3.7",".","3.7",".","3.7",".",".",".",".",".",".",".","."
"Eighth Semester Chinese","402","001","","23","3.633","60.9","26.1","4.3",".",".",".","4.3","4.3",".",".",".",".",".",".",".","."
