"","996
021","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","996
030","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","996
041","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"Research-Plant Physiology","Course Total","3","***","","","","","","","","","","","","","","","","",""
"BOTANY
208","Dept. Total","868","3.142","33.2","16.0","23.0","7.4","11.4","1.7","1.4","3.1","",".","0.1","0.1","2.0","0.3",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","44","3.094","20.5","29.5","25.0","4.5","18.2","2.3",".",".","",".",".",".",".",".",".",".","."
"Sophomore","","176","3.048","23.3","17.0","33.0","13.6","11.4","1.1","0.6",".","",".",".",".",".",".",".",".","."
"Junior","","216","3.079","31.9","16.2","27.3","6.9","13.4","1.4","2.3",".","",".",".",".",".","0.5",".",".","."
"Senior","","327","3.161","34.9","18.0","20.8","7.0","12.5","2.4","1.5","1.2","",".",".","0.3","0.6","0.6",".",".","."
"Undergraduates","","763","3.106","30.5","18.0","25.7","8.4","12.8","1.8","1.4","0.5","",".",".","0.1","0.3","0.4",".",".","."
"Special","","11","3.889","54.5",".","9.1",".",".",".",".","27.3","",".","9.1",".",".",".",".",".","."
"Graduate","","94","3.716","52.1","2.1","3.2",".","1.1","1.1","1.1","21.3","",".",".",".","16.0",".",".","2.1","."
"","Dept. Total","868","3.142","33.2","16.0","23.0","7.4","11.4","1.7","1.4","3.1","",".","0.1","0.1","2.0","0.3",".","0.2","."
