"BIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","111","2.239","10.8","6.3","27.0","8.1","19.8","13.5","12.6",".",".",".",".",".",".","0.9",".","0.9"
"","002
101","132","2.110","9.1","2.3","22.7","15.2","21.2","18.2","11.4",".",".",".",".",".",".",".",".","."
"Animal Biology","Course Total","243","2.168","9.9","4.1","24.7","11.9","20.6","16.0","11.9",".",".",".",".",".",".","0.4",".","0.4"
"","102
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
003","8","3.188","12.5","25.0","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
010","9","3.611","55.6","11.1","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
011","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
012","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
013","8","3.563","50.0","12.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
014","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
015","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
016","6","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
017","8","3.000","12.5","25.0","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"","102
018","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
019","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","88","3.335","29.5","21.6","39.8","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"General Botany","130
001","35","2.957","28.6","8.6","34.3","5.7","14.3","5.7","2.9",".",".",".",".",".",".",".",".","."
"Introductory Biology","151
001","84","2.741","9.5","4.8","50.0","10.7","15.5","8.3",".",".","1.2",".",".",".",".",".",".","."
"","152
001","168","3.162","19.0","16.1","52.4","4.2","6.5","1.2",".",".",".",".",".",".","0.6",".",".","."
"","152
002","191","3.013","15.7","16.2","42.9","9.4","13.6","2.1",".",".",".",".",".",".",".",".",".","."
"","152
003","86","3.070","19.8","15.1","46.5","3.5","11.6","3.5",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","445","3.080","17.8","16.0","47.2","6.3","10.6","2.0",".",".",".",".",".",".","0.2",".",".","."
"","261
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","261
003","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","261
004","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entering Research Part 2","Course Total","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Studies","Course Total","5","***","","","","","","","","","","","","","","","",""
"","375
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
004","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
005","36","3.914","94.4",".",".",".",".","2.8",".",".",".",".",".",".","2.8",".",".","."
"","375
006","36","3.847","80.6","13.9",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","82","3.907","89.0","6.1",".","2.4",".","1.2",".",".",".",".",".",".","1.2",".",".","."
"Special Topics","675
001","13","3.692","53.8","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 23, 2011","","","","","","","","","","","","","","","","","","Page 168 of 403",""
