"AMERICAN INDIAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","","","",""
"Intro-Amer Indian Studies","100
001","52","3.608","55.8","23.1","11.5","3.8","1.9","1.9",".","1.9",".","",".",".","",".","",".",".",".","."
"Literature by Amer Ind Women","246
001","20","3.447","20.0","55.0","10.0","10.0",".",".",".","5.0",".","",".",".","",".","",".",".",".","."
"Amer Indian Oral Literature","275
001","16","3.375","18.8","43.8","31.3","6.3",".",".",".",".",".","",".",".","",".","",".",".",".","."
"Native Peoples of Southwest","320
001","27","3.115","33.3","18.5","18.5","18.5",".",".","7.4","3.7",".","",".",".","",".","",".",".",".","."
"American Indians in Film","325
001","46","3.442","32.6","39.1","10.9","4.3","4.3","2.2",".","4.3",".","",".",".","",".","",".","2.2",".","."
"Native Amer Envir Iss & Media","444
001","5","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","450
006","22","3.909","86.4","9.1","4.5",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"","450
013","8","3.563","50.0","12.5","37.5",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"","450
016","31","3.167","16.1","38.7","22.6","12.9","3.2",".","3.2",".",".","",".",".","",".","","3.2",".",".","."
"Issues in Amer Ind Studies","Course Total","61","3.492","45.9","24.6","18.0","6.6","1.6",".","1.6",".","",".",".","",".","",".","1.6",".",".","."
"AMER IND
140","Dept. Total","227","3.455","40.1","30.4","15.0","7.5","1.8","0.9","1.3","2.2","",".",".","",".","",".","0.4","0.4",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","50","3.520","48.0","28.0","16.0","4.0","2.0",".","2.0",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","61","3.500","39.3","32.8","18.0","8.2","1.6",".",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","41","3.487","39.0","36.6","9.8","7.3",".",".","2.4","2.4","",".",".","",".","",".",".","2.4",".","."
"Senior","","71","3.348","38.0","26.8","15.5","9.9","2.8","2.8","1.4","2.8","",".",".","",".","",".",".",".",".","."
"Undergraduates","","223","3.454","40.8","30.5","15.2","7.6","1.8","0.9","1.3","1.3","",".",".","",".","",".",".","0.4",".","."
"Special","","3","3.500",".","33.3",".",".",".",".",".","66.7","",".",".","",".","",".",".",".",".","."
"Graduate","","1","",".",".",".",".",".",".",".",".","",".",".","",".","",".","100.0",".",".","."
"","Dept. Total","227","3.455","40.1","30.4","15.0","7.5","1.8","0.9","1.3","2.2","",".",".","",".","",".","0.4","0.4",".","."
