"ALS","","","","","","","","","","","","","","","","","","","","",""
"INTERDIS COURSES (C A L S)","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"494
INTER-AG","","","","","","","","","","","","","","","","","","","","",""
"Intro-Int'l Issues Ag&Life Sci","165","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"WISE Seminar","175","001","","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"World Hunger & Malnutrition","350","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","375","015","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","875","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","","Course Total","","4","***","","","","","","","","","","","","","","","",""
