"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"","301
001","159","3.322","28.9","31.4","23.9","6.9","5.7","1.9",".","0.6",".",".",".",".","0.6",".",".","."
"","301
002","95","3.371","29.5","37.9","18.9","7.4",".","4.2",".","1.1",".",".",".",".","1.1",".",".","."
"","003
301","45","3.556","40.0","51.1","2.2","2.2","2.2",".","2.2",".",".",".",".",".",".",".",".","."
"Human Abilities & Learning","Course Total","299","3.373","30.8","36.5","19.1","6.4","3.3","2.3","0.3","0.7",".",".",".",".","0.7",".",".","."
"Human Dev-Infancy&Childhood","320
001","142","3.324","34.5","26.1","22.5","7.7","7.0","2.1",".",".",".",".",".",".",".",".",".","."
"","321
001","133","3.263","39.1","18.0","24.1","5.3","7.5","1.5","3.0","0.8",".",".",".",".","0.8",".",".","."
"","321
002","117","2.649","12.0","22.2","17.1","17.1","17.9","9.4","4.3",".",".",".",".",".",".",".",".","."
"Human Develop-Adolescence","Course Total","250","2.986","26.4","20.0","20.8","10.8","12.4","5.2","3.6","0.4",".",".",".",".","0.4",".",".","."
"Hum Devel Chldhood-Adolescn","331
001","71","3.400","28.2","35.2","23.9","9.9","1.4",".",".","1.4",".",".",".",".",".",".",".","."
"Appl Behav Anal in Classrms","541
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","014
699","7","3.600","57.1",".",".","14.3",".",".",".",".",".",".",".",".","28.6",".",".","."
"","699
026","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
047","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","14","3.739","57.1",".",".","7.1",".",".",".",".",".",".",".",".","28.6",".","7.1","."
"Seminar-Research in Ed Psyc II","710
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
004","19","4.000","94.7",".",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"","711
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
008","7","3.900","57.1","14.3",".",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"","711
009","22","3.875","72.7","13.6","4.5",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","711
010","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics-Ed Psych","Course Total","59","3.890","76.3","11.9","3.4",".",".",".",".","3.4",".",".",".",".","5.1",".",".","."
"Adolescent Development","721
001","11","3.833","63.6","9.1","9.1",".",".",".",".",".",".",".",".",".","18.2",".",".","."
"Theory & Issues-Human Dev","725
001","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Lab-Developmental Research","731
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal&Ethical Bases - Coun&Psy","735
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Psych of Individual Difference","736
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","761
001","43","3.942","88.4","11.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","761
002","34","3.773","67.6","14.7","14.7",".",".",".",".",".",".",".",".",".",".",".","2.9","."
"Stat Meth-Applied to Ed II","Course Total","77","3.868","79.2","13.0","6.5",".",".",".",".",".",".",".",".",".",".",".","1.3","."
"Scaling, Factr&Cluster Anal","773
001","32","3.968","90.6","6.3",".",".",".",".",".",".",".",".",".",".",".",".","3.1","."
"Intro to Learning Sciences II","796
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","840
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","840
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","840
003","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Pract-School Psych","Course Total","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chld&Adoles Psychpathl/Schl","844
001","13","3.625","46.2","23.1","23.1",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Psychophm Treat-Chld&Adolescnt","845
001","9","4.000","11.1",".",".",".",".",".",".",".",".",".",".",".","88.9",".",".","."
"Test Theory II","871
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Smr in Prevention Sci","881
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internshp-School Psychology","943
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship Preparation","944
001","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"June 23, 2011","","","","","","","","","","","","","","","","","","","Page 92 of 403"
