"INTERDIS COURSES (SOHE)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","",""
"","299
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
036","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","3","***","","","","","","","","","","","","","","","",""
"Nonprofit Sector: Overview","300
001","22","3.409","54.5","27.3","4.5",".","4.5","4.5","4.5",".",".",".",".",".",".",".",".","."
"Practicum-Fam & Consumer Educ","330
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Communicating-Key Audiences","335
001","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Iss & Serv Learng","350
001","21","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399
001","11","3.581","63.6","9.1","9.1","9.1",".",".",".",".",".",".",".",".","9.1",".",".","."
"Meths-Teachng Fam & Consumr Ed","427
001","35","3.043","28.6","20.0","25.7","5.7","11.4","5.7","2.9",".",".",".",".",".",".",".",".","."
"Leadership&Mgt-Nonprofit Orgs","460
001","20","3.625","45.0","40.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","501
001","110","3.927","90.9","5.5","0.9",".","1.8",".",".",".",".",".",".",".","0.9",".",".","."
"","501
003","23","3.609","60.9","17.4","8.7","8.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"","501
004","7","3.833","57.1","28.6",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","501
005","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
006","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","156","3.879","85.9","7.7","1.9","1.3","1.9",".",".","0.6",".",".",".",".","0.6",".",".","."
"Community Leadershp","560
001","18","3.806","77.8","11.1","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations of Educ for Work","660
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Org&Oper-Educ for Work Progrms","661
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
004","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
053","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Research Methods","793
001","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research and Thesis","990
010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"INTER-HE
498","Dept. Total","334","3.726","73.4","13.2","5.7","2.1","2.4","0.9","0.6","0.3",".",".",".","0.6","0.9",".",".","."
