"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","",""
"DANCE PROGRAM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","",""
"","399
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Project","Course Total","8","3.909","75.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","12.5","."
"","41
001","34","3.750","58.8","26.5","5.9","2.9",".",".",".","5.9",".",".",".",".",".",".",".","."
"","41
002","49","3.826","73.5","16.3",".",".","4.1",".",".","6.1",".",".",".",".",".",".",".","."
"","41
003","22","3.974","81.8","4.5",".",".",".",".",".","13.6",".",".",".",".",".",".",".","."
"","41
004","22","4.000","77.3",".",".",".",".",".",".","13.6",".",".",".",".","9.1",".",".","."
"","41
005","30","3.980","80.0","3.3",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","41
006","43","3.816","76.7","4.7","4.7",".",".",".","2.3","11.6",".",".",".",".",".",".",".","."
"","41
007","40","3.842","85.0","5.0","2.5",".",".",".","2.5","5.0",".",".",".",".",".",".",".","."
"","41
008","46","3.866","73.9","6.5","8.7",".",".",".",".","10.9",".",".",".",".",".",".",".","."
"Ballroom Dancing","Course Total","286","3.861","75.5","9.1","3.1","0.3","0.7",".","0.7","9.8",".",".",".",".","0.7",".",".","."
"Ballroom Dance II","42
001","30","3.904","76.7","3.3","6.7",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"Sound Dsgn-Perf/Visual Arts","420
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Sound Design","430
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Dance Repertory Theater","451
001","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Javanese Performance Repertory","453
001","7","3.643","71.4","14.3",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Dance Composition III","455
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","560
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","560
002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","560
003","28","3.852","75.0","14.3","7.1",".",".",".",".","3.6",".",".",".",".",".",".",".","."
"Current Topics-Dance:Wkshp","Course Total","53","3.938","86.8","7.5","3.8",".",".",".",".","1.9",".",".",".",".",".",".",".","."
"","699
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Project","Course Total","7","3.906","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
