"MUSIC-PERFORMANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","",""
"Beginning Class Piano","101
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
001","","11","3.773","72.7","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","","11","3.682","36.4","63.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Beginning Class Piano","Course Total","","29","3.741","58.6","31.0","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Class Piano","103
001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
001","","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
002","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Class Piano","Course Total","","17","3.735","52.9","41.2","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals: Double Reeds","12
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Performance: Voice","143
001","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","144
101","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","144
102","","6","3.778","50.0","33.3",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","144
103","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Vocal Instr: Non-Voice Majors","Course Total","","12","3.889","75.0","16.7",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"First Year Composition","147
001","","15","3.731","60.0","6.7","20.0",".",".",".",".",".",".",".",".",".","13.3",".",".","."
"Fundamentals-High Brass","18
001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200
024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","200
250","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","200
251","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","200
252","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","200
253","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","200
254","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","200
255","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intermed Piano-Non-Majors","Course Total","","17","3.833","64.7","17.6","5.9",".",".",".",".",".",".",".",".",".","11.8",".",".","."
"","201
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Piano","Course Total","","3","***","","","","","","","","","","","","","","","",""
"","205
006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","205
045","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","205
061","","10","3.864","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","205
062","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","205
101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","205
200","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Voice","Course Total","","31","3.936","87.1","9.7","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Flute","207
010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Oboe","209
059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Clarinet","211
005","","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Element/Intermed Saxophone","213
050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Bassoon","215
032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Trumpet","219
063","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Trombone","221
089","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Euphonium","223
050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
