"PATHO-BIOLOGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","",""
"299
Independent Study","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"350
Parasitology","001","","16","2.375","12.5","6.3","37.5","6.3","12.5","12.5","12.5",".",".",".",".",".",".",".",".","."
"500
Molecular Biology Techniques","001","","15","2.833","13.3","13.3","40.0","20.0","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"514
Veterinary Parasitology","001","","154","3.393","39.0","16.9","32.5","7.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"515
Reg Vet Med & Public Health","001","","77","3.870","76.6","20.8","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"561
Veterinary Systemic Path II","001","","73","3.596","43.8","32.9","21.9","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"562
Veterinary Clinic Pathology","001","","73","3.404","23.3","39.7","32.9","2.7","1.4",".",".",".",".",".",".",".",".",".",".","."
"660
Vet Necropsy Rotation","001","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","002","","73","4.000","67.1",".",".",".",".",".",".","32.9",".",".",".",".",".",".",".","."
"675","003","","23","4.000","52.2",".",".",".",".",".",".","47.8",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","96","4.000","63.5",".",".",".",".",".",".","36.5",".",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","6","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"699","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","20","3.875","55.0","15.0",".",".",".",".",".","30.0",".",".",".",".",".",".",".","."
"775","001","","15","",".",".",".",".",".",".",".","93.3",".",".",".",".",".",".","6.7","."
"775","002","","8","",".",".",".",".",".",".",".","87.5",".",".",".",".",".",".","12.5","."
"775","003","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","30","",".",".",".",".",".",".",".","93.3",".",".",".",".",".",".","6.7","."
"799
Pract-Veterinary Sci Tchg","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920
Thesis Research Seminar","001","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".","16.7",".",".",".","."
"930","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"930","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","010","","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Seminar","Course Total","","16","3.867","75.0","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","6.3","."
"990","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"June 23, 2011","","","","","","","","","","","","","","","","","","","Page 397 of 403",""
