"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"","990
036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research","Course Total","29","",".",".",".",".",".",".",".","86.2","3.4",".",".","10.3",".",".",".","."
"FRENCH
400","Dept. Total","988","3.393","37.8","29.7","14.9","6.0","3.8","0.9","0.9","5.0","0.1",".",".","0.3","0.3","0.1",".","0.3"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"Freshmen","","87","3.205","16.1","43.7","23.0","6.9","5.7","1.1","2.3",".",".",".",".",".",".",".",".","1.1"
"Sophomore","","242","3.348","32.2","31.8","24.4","5.0","5.0","0.8","0.8",".",".",".",".",".",".",".",".","."
"Junior","","159","3.409","44.0","25.8","15.7","9.4","3.8","0.6","0.6",".",".",".",".",".",".",".",".","."
"Senior","","340","3.389","39.7","32.4","10.6","6.8","4.1","1.5","0.9","3.2",".",".",".",".",".","0.3",".","0.6"
"Undergraduates","","828","3.357","35.9","32.1","16.9","6.8","4.5","1.1","1.0","1.3",".",".",".",".",".","0.1",".","0.4"
"Special","","16","3.163","50.0","18.8","6.3","12.5","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"Graduate","","141","3.780","47.5","15.6","4.3","0.7",".",".",".","27.0","0.7",".",".","2.1","2.1",".",".","."
"Prof Yr 3","","3","3.682","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","3","3.682","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","988","3.393","37.8","29.7","14.9","6.0","3.8","0.9","0.9","5.0","0.1",".",".","0.3","0.3","0.1",".","0.3"
