"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"Intro-Theatre & Dramatic Lit","120
001","318","3.368","35.5","29.9","20.4","6.0","4.1","2.2","0.9",".",".",".",".",".","0.3",".","0.3","0.3"
"Voice Training","140
001","16","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
001","19","3.639","63.2","10.5","10.5","5.3","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"","150
002","20","3.763","70.0","10.0","10.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"","150
003","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
004","16","2.625","31.3",".","25.0","12.5","12.5","6.3","12.5",".",".",".",".",".",".",".",".","."
"","150
005","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
006","20","3.900","95.0",".",".",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","150
007","14","3.750","85.7","7.1",".",".",".","7.1",".",".",".",".",".",".",".",".",".","."
"","150
008","19","3.667","73.7","5.3",".","5.3","10.5",".",".",".",".",".",".",".",".","5.3",".","."
"","150
010","17","3.735","76.5","5.9","11.8",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Acting","Course Total","161","3.687","77.0","5.0","6.2","3.1","4.3","1.2","1.2","1.2",".",".",".",".",".","0.6",".","."
"Intro to Stage Production","160
001","26","2.750","15.4","26.9","26.9","7.7",".","19.2","3.8",".",".",".",".",".",".",".",".","."
"","161
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Backstage Laboratory I","Course Total","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","162
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","162
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","162
003","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theatre Production Laboratory","Course Total","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
001","15","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
002","16","3.844","68.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Acting","Course Total","31","3.726","54.8","35.5","9.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Traditions in Dramatic Lit","324
001","38","3.203","44.7","13.2","13.2","10.5","10.5",".","5.3",".",".",".",".",".","2.6",".",".","."
"Acting Realism","350
001","16","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
001","17","3.500","47.1","29.4","17.6",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"","357
002","18","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Theatre-Cultrl&Soc Aware","Course Total","35","3.586","40.0","48.6","8.6",".",".","2.9",".",".",".",".",".",".",".",".",".","."
"Backstage Laboratory II","361
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
003","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
004","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
005","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drama in Education","Course Total","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","366
001","11","3.722","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","366
002","6","3.238","66.7",".","16.7",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"Stage Lighting I","Course Total","17","3.544","58.8","23.5","11.8",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"Contemp World Theatre & Lit","424
001","32","3.435","40.6","21.9","25.0",".","9.4",".",".","3.1",".",".",".",".",".",".",".","."
"Theatre for Young Audiences","001
426","12","3.550","66.7",".",".","8.3",".","8.3",".","8.3",".",".",".",".","8.3",".",".","."
"Javanese Performance Repertory","453
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Costume Technology Topics","464
001","12","3.045","8.3","33.3","33.3","8.3",".","8.3",".",".",".",".",".",".",".",".","8.3","."
"Scenic Painting","472
001","15","3.679","40.0","46.7","6.7",".",".",".",".",".",".",".",".",".",".","6.7",".","."
